trade_number,direction,entry_time_utc,exit_time_utc,entry_price_usdt,exit_price_usdt,size_qty,size_value_usdt,net_pnl_usdt,return_pct,favorable_excursion_usdt,favorable_excursion_pct,adverse_excursion_usdt,adverse_excursion_pct,cumulative_pnl_usdt,cumulative_pnl_pct,duration_bars,entry_signal,exit_signal
1,short,2025-08-01T00:30:00Z,2025-08-03T11:30:00Z,3.5867,3.4722,27.88,99.997196,3.09,3.09,8.94,8.93,-1.37,-1.37,3.09,3.09,118,Short,Close Short
2,long,2025-08-03T12:00:00Z,2025-08-05T17:00:00Z,3.4541,3.4088,29.84,103.070344,-1.45,-1.41,5.31,5.15,-2.63,-2.55,1.64,1.64,106,Long,Close Long
3,short,2025-08-05T17:30:00Z,2025-08-06T16:30:00Z,3.4136,3.4708,29.77,101.622872,-1.81,-1.78,2.6,2.55,-2.8,-2.76,-0.17,-0.17,46,Short,Close Short
4,long,2025-08-06T17:00:00Z,2025-08-10T08:30:00Z,3.4686,3.8306,28.78,99.826308,10.31,10.33,15.42,15.44,-0.84,-0.85,10.15,10.15,175,Long,Close Long
5,short,2025-08-10T09:00:00Z,2025-08-11T03:00:00Z,3.8465,3.9565,28.63,110.125295,-3.26,-2.96,1.71,1.55,-3.81,-3.46,6.89,6.89,36,Short,Close Short
6,long,2025-08-11T03:30:00Z,2025-08-11T10:00:00Z,3.9443,3.8349,27.09,106.851087,-3.07,-2.87,0.68,0.64,-3.62,-3.39,3.82,3.82,13,Long,Close Long
7,short,2025-08-11T10:30:00Z,2025-08-12T16:30:00Z,3.8236,3.8103,27.15,103.81074,0.26,0.25,6.09,5.87,-0.11,-0.11,4.08,4.08,60,Short,Close Short
8,long,2025-08-12T17:00:00Z,2025-08-14T15:30:00Z,3.8381,3.823,27.11,104.050891,-0.51,-0.49,9.32,8.95,-4.58,-4.40,3.56,3.56,93,Long,Close Long
9,short,2025-08-14T16:00:00Z,2025-08-17T05:30:00Z,3.8131,3.8173,27.15,103.525665,-0.22,-0.21,5.3,5.12,-1.89,-1.82,3.34,3.34,123,Short,Close Short
10,long,2025-08-17T06:00:00Z,2025-08-18T02:30:00Z,3.8008,3.6454,27.19,103.343752,-4.33,-4.18,2.46,2.38,-4.41,-4.27,-0.98,-0.98,41,Long,Close Long
11,short,2025-08-18T03:00:00Z,2025-08-20T20:30:00Z,3.6208,3.5697,27.34,98.992672,1.3,1.31,6.61,6.68,-1.51,-1.53,0.32,0.32,131,Short,Close Short
12,long,2025-08-20T21:00:00Z,2025-08-21T09:00:00Z,3.5693,3.4741,28.1,100.29733,-2.77,-2.76,0.28,0.28,-2.73,-2.72,-2.46,-2.46,24,Long,Close Long
