Trade number,Type,Date and time,Signal,Price USDT,Size (qty),Size (value),Net PnL USDT,Return %,Commission USDT,Favorable excursion USDT,Favorable excursion %,Adverse excursion USDT,Adverse excursion %,Cumulative PnL USDT,Cumulative PnL %,Duration (bars)
1,Exit short,2025-08-03 19:30,Close Short,3.4722,27.88,99.997196,3.09,3.09,0.1,8.94,8.93,-1.37,-1.37,3.09,3.09,118
1,Entry short,2025-08-01 08:30,Short,3.5867,27.88,99.997196,3.09,3.09,0.1,8.94,8.93,-1.37,-1.37,3.09,3.09,118
2,Exit long,2025-08-06 01:00,Close Long,3.4088,29.84,103.070344,-1.45,-1.41,0.1,5.31,5.15,-2.63,-2.55,1.64,1.64,106
2,Entry long,2025-08-03 20:00,Long,3.4541,29.84,103.070344,-1.45,-1.41,0.1,5.31,5.15,-2.63,-2.55,1.64,1.64,106
3,Exit short,2025-08-07 00:30,Close Short,3.4708,29.77,101.622872,-1.81,-1.78,0.1,2.6,2.55,-2.8,-2.76,-0.17,-0.17,46
3,Entry short,2025-08-06 01:30,Short,3.4136,29.77,101.622872,-1.81,-1.78,0.1,2.6,2.55,-2.8,-2.76,-0.17,-0.17,46
4,Exit long,2025-08-10 16:30,Close Long,3.8306,28.78,99.826308,10.31,10.33,0.11,15.42,15.44,-0.84,-0.85,10.15,10.15,175
4,Entry long,2025-08-07 01:00,Long,3.4686,28.78,99.826308,10.31,10.33,0.11,15.42,15.44,-0.84,-0.85,10.15,10.15,175
5,Exit short,2025-08-11 11:00,Close Short,3.9565,28.63,110.125295,-3.26,-2.96,0.11,1.71,1.55,-3.81,-3.46,6.89,6.89,36
5,Entry short,2025-08-10 17:00,Short,3.8465,28.63,110.125295,-3.26,-2.96,0.11,1.71,1.55,-3.81,-3.46,6.89,6.89,36
6,Exit long,2025-08-11 18:00,Close Long,3.8349,27.09,106.851087,-3.07,-2.87,0.11,0.68,0.64,-3.62,-3.39,3.82,3.82,13
6,Entry long,2025-08-11 11:30,Long,3.9443,27.09,106.851087,-3.07,-2.87,0.11,0.68,0.64,-3.62,-3.39,3.82,3.82,13
7,Exit short,2025-08-13 00:30,Close Short,3.8103,27.15,103.81074,0.26,0.25,0.1,6.09,5.87,-0.11,-0.11,4.08,4.08,60
7,Entry short,2025-08-11 18:30,Short,3.8236,27.15,103.81074,0.26,0.25,0.1,6.09,5.87,-0.11,-0.11,4.08,4.08,60
8,Exit long,2025-08-14 23:30,Close Long,3.823,27.11,104.050891,-0.51,-0.49,0.1,9.32,8.95,-4.58,-4.40,3.56,3.56,93
8,Entry long,2025-08-13 01:00,Long,3.8381,27.11,104.050891,-0.51,-0.49,0.1,9.32,8.95,-4.58,-4.40,3.56,3.56,93
9,Exit short,2025-08-17 13:30,Close Short,3.8173,27.15,103.525665,-0.22,-0.21,0.1,5.3,5.12,-1.89,-1.82,3.34,3.34,123
9,Entry short,2025-08-15 00:00,Short,3.8131,27.15,103.525665,-0.22,-0.21,0.1,5.3,5.12,-1.89,-1.82,3.34,3.34,123
