trade_number,direction,entry_time_utc,exit_time_utc,entry_price_usdt,exit_price_usdt,size_qty,size_value_usdt,net_pnl_usdt,return_pct,favorable_excursion_usdt,favorable_excursion_pct,adverse_excursion_usdt,adverse_excursion_pct,cumulative_pnl_usdt,cumulative_pnl_pct,duration_bars,entry_signal,exit_signal
1,short,2025-08-01T00:30:00Z,2025-08-03T11:30:00Z,3.5867,3.4722,27.88,99.997196,3.09,3.09,8.94,8.93,-1.37,-1.37,3.09,3.09,118,Short,Close Short
2,long,2025-08-03T12:00:00Z,2025-08-05T08:30:00Z,3.4541,3.4552,29.84,103.070344,-0.07,-0.07,5.31,5.15,-1.62,-1.57,3.02,3.02,89,Long,Close Long
3,short,2025-08-05T09:00:00Z,2025-08-06T18:00:00Z,3.4572,3.4997,29.79,102.989988,-1.37,-1.33,3.9,3.78,-3.44,-3.34,1.65,1.65,66,Short,Close Short
4,long,2025-08-06T18:30:00Z,2025-08-10T07:00:00Z,3.5048,3.8764,29,101.6392,10.67,10.49,14.48,14.24,-1.9,-1.87,12.32,12.32,169,Long,Close Long
5,short,2025-08-10T07:30:00Z,2025-08-12T16:30:00Z,3.879,3.8103,28.95,112.29705,1.88,1.67,8.1,7.21,-2.91,-2.59,14.2,14.20,114,Short,Close Short
6,long,2025-08-12T17:00:00Z,2025-08-14T14:30:00Z,3.8381,3.8565,29.75,114.183475,0.43,0.38,10.23,8.95,-5.03,-4.40,14.63,14.63,91,Long,Close Long
7,short,2025-08-14T15:00:00Z,2025-08-17T04:30:00Z,3.8601,3.8011,29.69,114.606369,1.64,1.43,7.19,6.27,-0.67,-0.59,16.27,16.27,123,Short,Close Short
8,long,2025-08-17T05:00:00Z,2025-08-18T01:30:00Z,3.815,3.7074,30.47,116.24305,-3.39,-2.92,2.32,2.00,-3.34,-2.87,12.88,12.88,41,Long,Close Long
9,short,2025-08-18T02:00:00Z,2025-08-20T18:30:00Z,3.6904,3.5058,30.59,112.889336,5.54,4.90,9.53,8.44,-0.25,-0.22,18.42,18.42,129,Short,Close Short
10,long,2025-08-20T19:00:00Z,2025-08-21T10:00:00Z,3.5279,3.4583,33.56,118.396324,-2.45,-2.07,1.93,1.63,-2.5,-2.11,15.96,15.96,30,Long,Close Long
11,short,2025-08-21T10:30:00Z,2025-08-22T17:30:00Z,3.4648,3.7362,33.46,115.932208,-9.2,-7.93,5.39,4.65,-9.14,-7.88,6.76,6.76,62,Short,Close Short
12,long,2025-08-22T18:00:00Z,2025-08-24T08:30:00Z,3.7045,3.6804,28.81,106.726645,-0.8,-0.75,2.82,2.65,-2.92,-2.74,5.96,5.96,77,Long,Close Long
13,short,2025-08-24T09:00:00Z,2025-08-27T05:00:00Z,3.6858,3.4958,28.74,105.929892,5.36,5.05,10.75,10.14,-4.77,-4.50,11.32,11.32,136,Short,Close Short
14,long,2025-08-27T05:30:00Z,2025-08-28T18:30:00Z,3.4682,3.4525,32.09,111.294538,-0.61,-0.55,1.88,1.69,-1.87,-1.68,10.7,10.70,74,Long,Close Long
15,short,2025-08-28T19:00:00Z,2025-09-02T22:00:00Z,3.4521,3.3079,32.06,110.674326,4.51,4.08,11.04,9.97,-1.57,-1.41,15.22,15.22,246,Short,Close Short
16,long,2025-09-02T22:30:00Z,2025-09-04T07:00:00Z,3.3075,3.2925,34.83,115.200225,-0.64,-0.55,3.36,2.91,-1.53,-1.33,14.58,14.58,65,Long,Close Long
17,short,2025-09-04T07:30:00Z,2025-09-05T07:30:00Z,3.2993,3.3864,34.72,114.551696,-3.14,-2.74,2.31,2.02,-3.28,-2.86,11.44,11.44,48,Short,Close Short
18,long,2025-09-05T08:00:00Z,2025-09-06T16:30:00Z,3.3932,3.34,32.84,111.432688,-1.86,-1.67,1.91,1.72,-2.28,-2.05,9.58,9.58,65,Long,Close Long
19,short,2025-09-06T17:00:00Z,2025-09-08T09:30:00Z,3.3377,3.4491,32.82,109.543314,-3.77,-3.44,0.84,0.77,-4.16,-3.80,5.81,5.81,81,Short,Close Short
20,long,2025-09-08T10:00:00Z,2025-09-09T16:30:00Z,3.4535,3.4431,30.64,105.81524,-0.42,-0.40,4.91,4.64,-1,-0.95,5.39,5.39,61,Long,Close Long
21,short,2025-09-09T17:00:00Z,2025-09-10T13:30:00Z,3.4449,3.5836,30.59,105.379491,-4.35,-4.13,0.52,0.49,-4.56,-4.33,1.04,1.04,41,Short,Close Short
22,long,2025-09-10T14:00:00Z,2025-09-14T13:00:00Z,3.5919,3.6919,28.13,101.040147,2.71,2.68,8.1,8.01,-1.55,-1.53,3.75,3.75,190,Long,Close Long
23,short,2025-09-14T13:30:00Z,2025-09-16T15:00:00Z,3.6902,3.5936,28.11,103.731522,2.61,2.52,6.51,6.27,-1.31,-1.26,6.36,6.36,99,Short,Close Short
24,long,2025-09-16T15:30:00Z,2025-09-19T08:00:00Z,3.5866,3.799,29.65,106.34269,6.19,5.82,11.43,10.74,-2.02,-1.89,12.55,12.55,129,Long,Close Long
25,short,2025-09-19T08:30:00Z,2025-09-24T15:00:00Z,3.8093,3.4184,29.54,112.526722,11.44,10.16,17.46,15.51,-0.14,-0.13,23.99,23.99,253,Short,Close Short
26,long,2025-09-24T15:30:00Z,2025-09-25T02:00:00Z,3.4124,3.3178,36.33,123.972492,-3.56,-2.87,0.07,0.05,-3.84,-3.10,20.43,20.43,21,Long,Close Long
27,short,2025-09-25T02:30:00Z,2025-09-26T20:00:00Z,3.3174,3.2041,36.3,120.42162,3.99,3.32,9.14,7.59,-1.63,-1.35,24.43,24.43,83,Short,Close Short
28,long,2025-09-26T20:30:00Z,2025-09-28T02:30:00Z,3.2045,3.1499,38.82,124.39869,-2.24,-1.80,0.92,0.74,-2.72,-2.18,22.18,22.18,60,Long,Close Long
29,short,2025-09-28T03:00:00Z,2025-09-28T20:30:00Z,3.1479,3.2346,38.81,122.169999,-3.49,-2.85,2.08,1.70,-3.48,-2.84,18.7,18.70,35,Short,Close Short
