Trade number,Type,Date and time,Signal,Price USDT,Size (qty),Size (value),Net PnL USDT,Return %,Commission USDT,Favorable excursion USDT,Favorable excursion %,Adverse excursion USDT,Adverse excursion %,Cumulative PnL USDT,Cumulative PnL %,Duration (bars)
1,Exit short,2025-08-03 19:30,Close Short,3.4722,27.88,99.997196,3.09,3.09,0.1,8.94,8.93,-1.37,-1.37,3.09,3.09,118
1,Entry short,2025-08-01 08:30,Short,3.5867,27.88,99.997196,3.09,3.09,0.1,8.94,8.93,-1.37,-1.37,3.09,3.09,118
2,Exit long,2025-08-05 16:30,Close Long,3.4552,29.84,103.070344,-0.07,-0.07,0.1,5.31,5.15,-1.62,-1.57,3.02,3.02,89
2,Entry long,2025-08-03 20:00,Long,3.4541,29.84,103.070344,-0.07,-0.07,0.1,5.31,5.15,-1.62,-1.57,3.02,3.02,89
3,Exit short,2025-08-07 02:00,Close Short,3.4997,29.79,102.989988,-1.37,-1.33,0.1,3.9,3.78,-3.44,-3.34,1.65,1.65,66
3,Entry short,2025-08-05 17:00,Short,3.4572,29.79,102.989988,-1.37,-1.33,0.1,3.9,3.78,-3.44,-3.34,1.65,1.65,66
4,Exit long,2025-08-10 15:00,Close Long,3.8764,29,101.6392,10.67,10.49,0.11,14.48,14.24,-1.9,-1.87,12.32,12.32,169
4,Entry long,2025-08-07 02:30,Long,3.5048,29,101.6392,10.67,10.49,0.11,14.48,14.24,-1.9,-1.87,12.32,12.32,169
5,Exit short,2025-08-13 00:30,Close Short,3.8103,28.95,112.29705,1.88,1.67,0.11,8.1,7.21,-2.91,-2.59,14.2,14.20,114
5,Entry short,2025-08-10 15:30,Short,3.879,28.95,112.29705,1.88,1.67,0.11,8.1,7.21,-2.91,-2.59,14.2,14.20,114
6,Exit long,2025-08-14 22:30,Close Long,3.8565,29.75,114.183475,0.43,0.38,0.11,10.23,8.95,-5.03,-4.40,14.63,14.63,91
6,Entry long,2025-08-13 01:00,Long,3.8381,29.75,114.183475,0.43,0.38,0.11,10.23,8.95,-5.03,-4.40,14.63,14.63,91
7,Exit short,2025-08-17 12:30,Close Short,3.8011,29.69,114.606369,1.64,1.43,0.11,7.19,6.27,-0.67,-0.59,16.27,16.27,123
7,Entry short,2025-08-14 23:00,Short,3.8601,29.69,114.606369,1.64,1.43,0.11,7.19,6.27,-0.67,-0.59,16.27,16.27,123
8,Exit long,2025-08-18 09:30,Close Long,3.7074,30.47,116.24305,-3.39,-2.92,0.11,2.32,2.00,-3.34,-2.87,12.88,12.88,41
8,Entry long,2025-08-17 13:00,Long,3.815,30.47,116.24305,-3.39,-2.92,0.11,2.32,2.00,-3.34,-2.87,12.88,12.88,41
9,Exit short,2025-08-21 02:30,Close Short,3.5058,30.59,112.889336,5.54,4.90,0.11,9.53,8.44,-0.25,-0.22,18.42,18.42,129
9,Entry short,2025-08-18 10:00,Short,3.6904,30.59,112.889336,5.54,4.90,0.11,9.53,8.44,-0.25,-0.22,18.42,18.42,129
10,Exit long,2025-08-21 18:00,Close Long,3.4583,33.56,118.396324,-2.45,-2.07,0.12,1.93,1.63,-2.5,-2.11,15.96,15.96,30
