trade_number,direction,entry_time_utc,exit_time_utc,entry_price_usdt,exit_price_usdt,size_qty,size_value_usdt,net_pnl_usdt,return_pct,favorable_excursion_usdt,favorable_excursion_pct,adverse_excursion_usdt,adverse_excursion_pct,cumulative_pnl_usdt,cumulative_pnl_pct,duration_bars,entry_signal,exit_signal
1,short,2025-08-01T00:30:00Z,2025-08-04T01:00:00Z,3.5867,3.5107,27.88,99.997196,2.02,2.02,8.94,8.93,-1.37,-1.37,2.02,2.02,145,Short,Close Short
2,long,2025-08-04T01:30:00Z,2025-08-05T05:00:00Z,3.4877,3.4748,29.24,101.980348,-0.48,-0.47,4.22,4.14,-2.47,-2.42,1.54,1.54,55,Long,Close Long
3,short,2025-08-05T05:30:00Z,2025-08-07T10:30:00Z,3.4936,3.586,29.06,101.524016,-2.79,-2.74,4.86,4.78,-2.74,-2.69,-1.25,-1.25,106,Short,Close Short
4,long,2025-08-07T11:00:00Z,2025-08-10T08:00:00Z,3.654,3.8221,27.02,98.73108,4.44,4.50,9.46,9.58,-0.66,-0.67,3.19,3.19,138,Long,Close Long
5,short,2025-08-10T08:30:00Z,2025-08-11T04:00:00Z,3.8306,3.9598,26.93,103.158058,-3.58,-3.47,1.18,1.15,-4.01,-3.89,-0.39,-0.39,39,Short,Close Short
6,long,2025-08-11T04:30:00Z,2025-08-11T10:30:00Z,3.9522,3.8236,25.2,99.59544,-3.34,-3.35,0.26,0.26,-3.88,-3.89,-3.73,-3.73,12,Long,Close Long
7,short,2025-08-11T11:00:00Z,2025-08-12T18:30:00Z,3.8063,3.8895,25.29,96.261327,-2.2,-2.29,5.24,5.44,-2.52,-2.61,-5.93,-5.93,63,Short,Close Short
8,long,2025-08-12T19:00:00Z,2025-08-14T12:30:00Z,3.858,3.7257,24.38,94.05804,-3.32,-3.53,7.9,8.39,-3.27,-3.48,-9.25,-9.25,83,Long,Emergency SL
9,short,2025-08-14T15:30:00Z,2025-08-19T12:00:00Z,3.823,3.6467,23.73,90.71979,4.09,4.51,8.03,8.85,-1.71,-1.88,-5.15,-5.15,233,Short,Close Short
10,long,2025-08-19T12:30:00Z,2025-08-19T19:00:00Z,3.6047,3.4412,26.3,94.80361,-4.39,-4.63,0,0.00,-4.63,-4.89,-9.55,-9.55,13,Long,Close Long
11,short,2025-08-19T19:30:00Z,2025-08-22T16:00:00Z,3.4647,3.6898,26.1,90.42867,-5.97,-6.60,4.2,4.65,-5.92,-6.54,-15.51,-15.51,137,Short,Emergency SL
12,long,2025-08-22T17:00:00Z,2025-08-25T07:30:00Z,3.6735,3.5254,22.99,84.453765,-3.49,-4.13,4.01,4.75,-3.5,-4.14,-19,-19.00,125,Long,Close Long
