Trade number,Type,Date and time,Signal,Price USDT,Size (qty),Size (value),Net PnL USDT,Return %,Commission USDT,Favorable excursion USDT,Favorable excursion %,Adverse excursion USDT,Adverse excursion %,Cumulative PnL USDT,Cumulative PnL %,Duration (bars)
1,Exit short,2025-08-04 09:00,Close Short,3.5107,27.88,99.997196,2.02,2.02,0.1,8.94,8.93,-1.37,-1.37,2.02,2.02,145
1,Entry short,2025-08-01 08:30,Short,3.5867,27.88,99.997196,2.02,2.02,0.1,8.94,8.93,-1.37,-1.37,2.02,2.02,145
2,Exit long,2025-08-05 13:00,Close Long,3.4748,29.24,101.980348,-0.48,-0.47,0.1,4.22,4.14,-2.47,-2.42,1.54,1.54,55
2,Entry long,2025-08-04 09:30,Long,3.4877,29.24,101.980348,-0.48,-0.47,0.1,4.22,4.14,-2.47,-2.42,1.54,1.54,55
3,Exit short,2025-08-07 18:30,Close Short,3.586,29.06,101.524016,-2.79,-2.74,0.1,4.86,4.78,-2.74,-2.69,-1.25,-1.25,106
3,Entry short,2025-08-05 13:30,Short,3.4936,29.06,101.524016,-2.79,-2.74,0.1,4.86,4.78,-2.74,-2.69,-1.25,-1.25,106
4,Exit long,2025-08-10 16:00,Close Long,3.8221,27.02,98.73108,4.44,4.50,0.1,9.46,9.58,-0.66,-0.67,3.19,3.19,138
4,Entry long,2025-08-07 19:00,Long,3.654,27.02,98.73108,4.44,4.50,0.1,9.46,9.58,-0.66,-0.67,3.19,3.19,138
5,Exit short,2025-08-11 12:00,Close Short,3.9598,26.93,103.158058,-3.58,-3.47,0.1,1.18,1.15,-4.01,-3.89,-0.39,-0.39,39
5,Entry short,2025-08-10 16:30,Short,3.8306,26.93,103.158058,-3.58,-3.47,0.1,1.18,1.15,-4.01,-3.89,-0.39,-0.39,39
6,Exit long,2025-08-11 18:30,Close Long,3.8236,25.2,99.59544,-3.34,-3.35,0.1,0.26,0.26,-3.88,-3.89,-3.73,-3.73,12
6,Entry long,2025-08-11 12:30,Long,3.9522,25.2,99.59544,-3.34,-3.35,0.1,0.26,0.26,-3.88,-3.89,-3.73,-3.73,12
7,Exit short,2025-08-13 02:30,Close Short,3.8895,25.29,96.261327,-2.2,-2.29,0.1,5.24,5.44,-2.52,-2.61,-5.93,-5.93,63
7,Entry short,2025-08-11 19:00,Short,3.8063,25.29,96.261327,-2.2,-2.29,0.1,5.24,5.44,-2.52,-2.61,-5.93,-5.93,63
8,Exit long,2025-08-14 20:30,Emergency SL,3.7257,24.38,94.05804,-3.32,-3.53,0.09,7.9,8.39,-3.27,-3.48,-9.25,-9.25,83
8,Entry long,2025-08-13 03:00,Long,3.858,24.38,94.05804,-3.32,-3.53,0.09,7.9,8.39,-3.27,-3.48,-9.25,-9.25,83
9,Exit short,2025-08-19 20:00,Close Short,3.6467,23.73,90.71979,4.09,4.51,0.09,8.03,8.85,-1.71,-1.88,-5.15,-5.15,233
9,Entry short,2025-08-14 23:30,Short,3.823,23.73,90.71979,4.09,4.51,0.09,8.03,8.85,-1.71,-1.88,-5.15,-5.15,233
10,Exit long,2025-08-20 03:00,Close Long,3.4412,26.3,94.80361,-4.39,-4.63,0.09,0,0.00,-4.63,-4.89,-9.55,-9.55,13
10,Entry long,2025-08-19 20:30,Long,3.6047,26.3,94.80361,-4.39,-4.63,0.09,0,0.00,-4.63,-4.89,-9.55,-9.55,13
11,Exit short,2025-08-23 00:00,Emergency SL,3.6898,26.1,90.42867,-5.97,-6.60,0.09,4.2,4.65,-5.92,-6.54,-15.51,-15.51,137
11,Entry short,2025-08-20 03:30,Short,3.4647,26.1,90.42867,-5.97,-6.60,0.09,4.2,4.65,-5.92,-6.54,-15.51,-15.51,137
12,Exit long,2025-08-25 15:30,Close Long,3.5254,22.99,84.453765,-3.49,-4.13,0.08,4.01,4.75,-3.5,-4.14,-19,-19.00,125
12,Entry long,2025-08-23 01:00,Long,3.6735,22.99,84.453765,-3.49,-4.13,0.08,4.01,4.75,-3.5,-4.14,-19,-19.00,125
13,Exit short,2025-09-01 18:30,Close Short,3.2924,23.16,80.995152,4.66,5.76,0.08,8.15,10.05,-0.77,-0.94,-14.34,-14.34,341
13,Entry short,2025-08-25 16:00,Short,3.4972,23.16,80.995152,4.66,5.76,0.08,8.15,10.05,-0.77,-0.94,-14.34,-14.34,341
14,Exit long,2025-09-05 02:30,Close Long,3.2429,26.1,85.6341,-1.08,-1.26,0.09,3.21,3.75,-4.61,-5.38,-15.42,-15.42,159
14,Entry long,2025-09-01 19:00,Long,3.281,26.1,85.6341,-1.08,-1.26,0.09,3.21,3.75,-4.61,-5.38,-15.42,-15.42,159
15,Exit short,2025-09-05 15:30,Close Short,3.3864,26.05,84.54788,-3.75,-4.44,0.09,0.17,0.20,-3.86,-4.56,-19.17,-19.17,25
15,Entry short,2025-09-05 03:00,Short,3.2456,26.05,84.54788,-3.75,-4.44,0.09,0.17,0.20,-3.86,-4.56,-19.17,-19.17,25
16,Exit long,2025-09-09 23:00,Close Long,3.4635,23.82,80.826024,1.59,1.97,0.08,5.25,6.50,-2.01,-2.49,-17.58,-17.58,206
16,Entry long,2025-09-05 16:00,Long,3.3932,23.82,80.826024,1.59,1.97,0.08,5.25,6.50,-2.01,-2.49,-17.58,-17.58,206
17,Exit short,2025-09-10 12:00,Close Short,3.5408,23.84,82.395808,-2.1,-2.55,0.08,0.67,0.81,-2.54,-3.08,-19.68,-19.68,25
17,Entry short,2025-09-09 23:30,Short,3.4562,23.84,82.395808,-2.1,-2.55,0.08,0.67,0.81,-2.54,-3.08,-19.68,-19.68,25
18,Exit long,2025-09-14 22:00,Close Long,3.6795,22.82,80.317272,3.57,4.44,0.08,8.22,10.23,-0.51,-0.64,-16.11,-16.11,211
18,Entry long,2025-09-10 12:30,Long,3.5196,22.82,80.317272,3.57,4.44,0.08,8.22,10.23,-0.51,-0.64,-16.11,-16.11,211
19,Exit short,2025-09-18 06:00,Close Short,3.7093,22.77,83.900619,-0.64,-0.77,0.08,5.15,6.13,-1.19,-1.41,-16.76,-16.76,159
19,Entry short,2025-09-14 22:30,Short,3.6847,22.77,83.900619,-0.64,-0.77,0.08,5.15,6.13,-1.19,-1.41,-16.76,-16.76,159
20,Exit long,2025-09-19 23:00,Close Long,3.6832,22.17,83.243916,-1.67,-2.00,0.08,4.81,5.78,-1.94,-2.33,-18.43,-18.43,81
20,Entry long,2025-09-18 06:30,Long,3.7548,22.17,83.243916,-1.67,-2.00,0.08,4.81,5.78,-1.94,-2.33,-18.43,-18.43,81
