trade_number,direction,entry_time_utc,exit_time_utc,entry_price_usdt,exit_price_usdt,size_qty,size_value_usdt,net_pnl_usdt,return_pct,favorable_excursion_usdt,favorable_excursion_pct,adverse_excursion_usdt,adverse_excursion_pct,cumulative_pnl_usdt,cumulative_pnl_pct,duration_bars,entry_signal,exit_signal
1,short,2025-08-01T00:30:00Z,2025-08-04T03:00:00Z,3.5867,3.4972,27.88,99.997196,2.4,2.40,8.94,8.93,-1.37,-1.37,2.4,2.40,149,Short,Close Short
2,long,2025-08-04T03:30:00Z,2025-08-05T16:00:00Z,3.481,3.3856,29.41,102.37621,-2.91,-2.84,4.44,4.34,-3.38,-3.30,-0.51,-0.51,73,Long,Close Long
3,short,2025-08-05T16:30:00Z,2025-08-06T17:30:00Z,3.4117,3.4777,29.16,99.485172,-2.03,-2.03,2.49,2.50,-2.8,-2.82,-2.54,-2.54,50,Short,Close Short
4,long,2025-08-06T18:00:00Z,2025-08-11T12:30:00Z,3.4997,3.735,27.84,97.431648,6.45,6.62,14.05,14.41,-1.68,-1.73,3.91,3.91,229,Long,Close Long
5,short,2025-08-11T13:00:00Z,2025-08-12T15:30:00Z,3.7257,3.805,27.89,103.909773,-2.32,-2.23,3.53,3.40,-2.49,-2.39,1.6,1.60,53,Short,Close Short
6,long,2025-08-12T16:00:00Z,2025-08-14T16:00:00Z,3.807,3.8131,26.68,101.57076,0.06,0.06,10,9.84,-3.68,-3.62,1.66,1.66,96,Long,Close Long
7,short,2025-08-14T16:30:00Z,2025-08-17T14:00:00Z,3.7562,3.8543,27.06,101.642772,-2.76,-2.71,3.74,3.68,-3.5,-3.45,-1.1,-1.10,139,Short,Close Short
8,long,2025-08-17T14:30:00Z,2025-08-18T02:30:00Z,3.8459,3.6454,25.71,98.878089,-5.25,-5.31,1.16,1.18,-5.33,-5.39,-6.35,-6.35,24,Long,Close Long
9,short,2025-08-18T03:00:00Z,2025-08-22T16:00:00Z,3.6208,3.6975,25.86,93.633888,-2.08,-2.22,8.2,8.75,-2.03,-2.17,-8.43,-8.43,218,Short,Emergency SL
10,long,2025-08-22T17:00:00Z,2025-08-24T11:00:00Z,3.6735,3.6169,24.92,91.54362,-1.5,-1.64,3.22,3.51,-1.76,-1.92,-9.93,-9.93,84,Long,Close Long
11,short,2025-08-24T11:30:00Z,2025-08-27T18:30:00Z,3.6159,3.514,24.9,90.03591,2.45,2.72,7.57,8.41,-5.87,-6.52,-7.48,-7.48,158,Short,Close Short
12,long,2025-08-27T19:00:00Z,2025-08-29T08:00:00Z,3.4812,3.3541,26.57,92.495484,-3.47,-3.75,1.21,1.31,-3.65,-3.95,-10.95,-10.95,74,Long,Close Long
13,short,2025-08-29T08:30:00Z,2025-09-01T10:30:00Z,3.3377,3.2924,26.68,89.049836,1.12,1.26,5.13,5.76,-1.75,-1.97,-9.83,-9.83,148,Short,Close Short
14,long,2025-09-01T11:00:00Z,2025-09-01T16:30:00Z,3.281,3.2129,27.48,90.16188,-1.96,-2.17,0.22,0.25,-2.14,-2.37,-11.79,-11.79,11,Long,Close Long
15,short,2025-09-01T17:00:00Z,2025-09-02T23:00:00Z,3.2111,3.3169,27.47,88.208917,-3,-3.39,2.85,3.22,-2.97,-3.36,-14.78,-14.78,60,Short,Close Short
16,long,2025-09-02T23:30:00Z,2025-09-04T15:30:00Z,3.3105,3.2562,25.74,85.21227,-1.48,-1.74,2.41,2.82,-1.59,-1.86,-16.27,-16.27,80,Long,Close Long
17,short,2025-09-04T16:00:00Z,2025-09-05T06:30:00Z,3.2632,3.359,25.65,83.70108,-2.54,-3.04,0.78,0.93,-2.57,-3.07,-18.81,-18.81,29,Short,Close Short
18,long,2025-09-05T07:00:00Z,2025-09-09T18:00:00Z,3.3636,3.4304,24.13,81.163668,1.53,1.88,6.04,7.44,-1.32,-1.63,-17.28,-17.28,214,Long,Close Long
19,short,2025-09-09T18:30:00Z,2025-09-10T13:00:00Z,3.4515,3.5621,23.96,82.69794,-2.73,-3.30,0.29,0.35,-3.04,-3.68,-20.01,-20.01,37,Short,Close Short
20,long,2025-09-10T13:30:00Z,2025-09-14T14:30:00Z,3.5836,3.6847,22.32,79.985952,2.18,2.72,6.61,8.26,-1.04,-1.31,-17.84,-17.84,194,Long,Close Long
21,short,2025-09-14T15:00:00Z,2025-09-16T13:00:00Z,3.6593,3.5989,22.45,82.151285,1.27,1.55,4.5,5.48,-1.74,-2.11,-16.56,-16.56,92,Short,Close Short
22,long,2025-09-16T13:30:00Z,2025-09-19T07:00:00Z,3.6325,3.7938,22.96,83.4022,3.62,4.34,7.79,9.34,-2.62,-3.13,-12.94,-12.94,131,Long,Close Long
23,short,2025-09-19T07:30:00Z,2025-09-26T19:30:00Z,3.8125,3.2077,22.83,87.039375,13.73,15.76,17.05,19.58,-0.35,-0.41,0.78,0.78,360,Short,Close Short
24,long,2025-09-26T20:00:00Z,2025-09-28T02:00:00Z,3.2041,3.1392,31.45,100.768945,-2.14,-2.12,0.76,0.75,-2.19,-2.17,-1.36,-1.36,60,Long,Close Long
25,short,2025-09-28T02:30:00Z,2025-09-28T20:30:00Z,3.1499,3.2346,31.31,98.623369,-2.75,-2.79,1.74,1.76,-2.74,-2.78,-4.11,-4.11,36,Short,Close Short
26,long,2025-09-28T21:00:00Z,2025-09-30T15:30:00Z,3.2327,3.1697,29.66,95.881882,-1.96,-2.05,2.76,2.87,-2.24,-2.33,-6.07,-6.07,85,Long,Close Long
27,short,2025-09-30T16:00:00Z,2025-09-30T22:30:00Z,3.163,3.2713,29.69,93.90947,-3.31,-3.52,0.32,0.34,-4.44,-4.73,-9.38,-9.38,13,Short,Close Short
28,long,2025-09-30T23:00:00Z,2025-10-07T14:30:00Z,3.2541,3.5265,27.84,90.594144,7.49,8.26,12.63,13.93,-1.18,-1.30,-1.9,-1.90,319,Long,Close Long
29,short,2025-10-07T15:00:00Z,2025-10-08T19:30:00Z,3.5217,3.5322,27.85,98.079345,-0.39,-0.40,2.69,2.75,-1.24,-1.27,-2.29,-2.29,57,Short,Close Short
30,long,2025-10-08T20:00:00Z,2025-10-09T08:30:00Z,3.5384,3.38,27.61,97.695224,-4.47,-4.57,0.19,0.19,-4.47,-4.57,-6.76,-6.76,25,Long,Close Long
31,short,2025-10-09T09:00:00Z,2025-10-12T15:00:00Z,3.3801,2.7222,27.58,93.223158,18.06,19.36,77.77,83.38,-2.75,-2.94,11.31,11.31,156,Short,Emergency SL
32,long,2025-10-12T18:00:00Z,2025-10-14T09:00:00Z,2.7787,2.7236,40.05,111.286935,-2.32,-2.08,9.34,8.39,-4.43,-3.97,8.99,8.99,78,Long,Close Long
