Trade number,Type,Date and time,Signal,Price USDT,Size (qty),Size (value),Net PnL USDT,Return %,Commission USDT,Favorable excursion USDT,Favorable excursion %,Adverse excursion USDT,Adverse excursion %,Cumulative PnL USDT,Cumulative PnL %,Duration (bars)
1,Exit short,2025-08-04 11:00,Close Short,3.4972,27.88,99.997196,2.4,2.40,0.1,8.94,8.93,-1.37,-1.37,2.4,2.40,149
1,Entry short,2025-08-01 08:30,Short,3.5867,27.88,99.997196,2.4,2.40,0.1,8.94,8.93,-1.37,-1.37,2.4,2.40,149
2,Exit long,2025-08-06 00:00,Close Long,3.3856,29.41,102.37621,-2.91,-2.84,0.1,4.44,4.34,-3.38,-3.30,-0.51,-0.51,73
2,Entry long,2025-08-04 11:30,Long,3.481,29.41,102.37621,-2.91,-2.84,0.1,4.44,4.34,-3.38,-3.30,-0.51,-0.51,73
3,Exit short,2025-08-07 01:30,Close Short,3.4777,29.16,99.485172,-2.03,-2.03,0.1,2.49,2.50,-2.8,-2.82,-2.54,-2.54,50
3,Entry short,2025-08-06 00:30,Short,3.4117,29.16,99.485172,-2.03,-2.03,0.1,2.49,2.50,-2.8,-2.82,-2.54,-2.54,50
4,Exit long,2025-08-11 20:30,Close Long,3.735,27.84,97.431648,6.45,6.62,0.1,14.05,14.41,-1.68,-1.73,3.91,3.91,229
4,Entry long,2025-08-07 02:00,Long,3.4997,27.84,97.431648,6.45,6.62,0.1,14.05,14.41,-1.68,-1.73,3.91,3.91,229
5,Exit short,2025-08-12 23:30,Close Short,3.805,27.89,103.909773,-2.32,-2.23,0.11,3.53,3.40,-2.49,-2.39,1.6,1.60,53
5,Entry short,2025-08-11 21:00,Short,3.7257,27.89,103.909773,-2.32,-2.23,0.11,3.53,3.40,-2.49,-2.39,1.6,1.60,53
6,Exit long,2025-08-15 00:00,Close Long,3.8131,26.68,101.57076,0.06,0.06,0.1,10,9.84,-3.68,-3.62,1.66,1.66,96
6,Entry long,2025-08-13 00:00,Long,3.807,26.68,101.57076,0.06,0.06,0.1,10,9.84,-3.68,-3.62,1.66,1.66,96
7,Exit short,2025-08-17 22:00,Close Short,3.8543,27.06,101.642772,-2.76,-2.71,0.1,3.74,3.68,-3.5,-3.45,-1.1,-1.10,139
7,Entry short,2025-08-15 00:30,Short,3.7562,27.06,101.642772,-2.76,-2.71,0.1,3.74,3.68,-3.5,-3.45,-1.1,-1.10,139
8,Exit long,2025-08-18 10:30,Close Long,3.6454,25.71,98.878089,-5.25,-5.31,0.1,1.16,1.18,-5.33,-5.39,-6.35,-6.35,24
8,Entry long,2025-08-17 22:30,Long,3.8459,25.71,98.878089,-5.25,-5.31,0.1,1.16,1.18,-5.33,-5.39,-6.35,-6.35,24
9,Exit short,2025-08-23 00:00,Emergency SL,3.6975,25.86,93.633888,-2.08,-2.22,0.09,8.2,8.75,-2.03,-2.17,-8.43,-8.43,218
9,Entry short,2025-08-18 11:00,Short,3.6208,25.86,93.633888,-2.08,-2.22,0.09,8.2,8.75,-2.03,-2.17,-8.43,-8.43,218
10,Exit long,2025-08-24 19:00,Close Long,3.6169,24.92,91.54362,-1.5,-1.64,0.09,3.22,3.51,-1.76,-1.92,-9.93,-9.93,84
10,Entry long,2025-08-23 01:00,Long,3.6735,24.92,91.54362,-1.5,-1.64,0.09,3.22,3.51,-1.76,-1.92,-9.93,-9.93,84
11,Exit short,2025-08-28 02:30,Close Short,3.514,24.9,90.03591,2.45,2.72,0.09,7.57,8.41,-5.87,-6.52,-7.48,-7.48,158
11,Entry short,2025-08-24 19:30,Short,3.6159,24.9,90.03591,2.45,2.72,0.09,7.57,8.41,-5.87,-6.52,-7.48,-7.48,158
12,Exit long,2025-08-29 16:00,Close Long,3.3541,26.57,92.495484,-3.47,-3.75,0.09,1.21,1.31,-3.65,-3.95,-10.95,-10.95,74
12,Entry long,2025-08-28 03:00,Long,3.4812,26.57,92.495484,-3.47,-3.75,0.09,1.21,1.31,-3.65,-3.95,-10.95,-10.95,74
13,Exit short,2025-09-01 18:30,Close Short,3.2924,26.68,89.049836,1.12,1.26,0.09,5.13,5.76,-1.75,-1.97,-9.83,-9.83,148
13,Entry short,2025-08-29 16:30,Short,3.3377,26.68,89.049836,1.12,1.26,0.09,5.13,5.76,-1.75,-1.97,-9.83,-9.83,148
14,Exit long,2025-09-02 00:30,Close Long,3.2129,27.48,90.16188,-1.96,-2.17,0.09,0.22,0.25,-2.14,-2.37,-11.79,-11.79,11
14,Entry long,2025-09-01 19:00,Long,3.281,27.48,90.16188,-1.96,-2.17,0.09,0.22,0.25,-2.14,-2.37,-11.79,-11.79,11
15,Exit short,2025-09-03 07:00,Close Short,3.3169,27.47,88.208917,-3,-3.39,0.09,2.85,3.22,-2.97,-3.36,-14.78,-14.78,60
15,Entry short,2025-09-02 01:00,Short,3.2111,27.47,88.208917,-3,-3.39,0.09,2.85,3.22,-2.97,-3.36,-14.78,-14.78,60
16,Exit long,2025-09-04 23:30,Close Long,3.2562,25.74,85.21227,-1.48,-1.74,0.08,2.41,2.82,-1.59,-1.86,-16.27,-16.27,80
16,Entry long,2025-09-03 07:30,Long,3.3105,25.74,85.21227,-1.48,-1.74,0.08,2.41,2.82,-1.59,-1.86,-16.27,-16.27,80
17,Exit short,2025-09-05 14:30,Close Short,3.359,25.65,83.70108,-2.54,-3.04,0.08,0.78,0.93,-2.57,-3.07,-18.81,-18.81,29
17,Entry short,2025-09-05 00:00,Short,3.2632,25.65,83.70108,-2.54,-3.04,0.08,0.78,0.93,-2.57,-3.07,-18.81,-18.81,29
18,Exit long,2025-09-10 02:00,Close Long,3.4304,24.13,81.163668,1.53,1.88,0.08,6.04,7.44,-1.32,-1.63,-17.28,-17.28,214
18,Entry long,2025-09-05 15:00,Long,3.3636,24.13,81.163668,1.53,1.88,0.08,6.04,7.44,-1.32,-1.63,-17.28,-17.28,214
19,Exit short,2025-09-10 21:00,Close Short,3.5621,23.96,82.69794,-2.73,-3.30,0.08,0.29,0.35,-3.04,-3.68,-20.01,-20.01,37
19,Entry short,2025-09-10 02:30,Short,3.4515,23.96,82.69794,-2.73,-3.30,0.08,0.29,0.35,-3.04,-3.68,-20.01,-20.01,37
20,Exit long,2025-09-14 22:30,Close Long,3.6847,22.32,79.985952,2.18,2.72,0.08,6.61,8.26,-1.04,-1.31,-17.84,-17.84,194
20,Entry long,2025-09-10 21:30,Long,3.5836,22.32,79.985952,2.18,2.72,0.08,6.61,8.26,-1.04,-1.31,-17.84,-17.84,194
21,Exit short,2025-09-16 21:00,Close Short,3.5989,22.45,82.151285,1.27,1.55,0.08,4.5,5.48,-1.74,-2.11,-16.56,-16.56,92
21,Entry short,2025-09-14 23:00,Short,3.6593,22.45,82.151285,1.27,1.55,0.08,4.5,5.48,-1.74,-2.11,-16.56,-16.56,92
22,Exit long,2025-09-19 15:00,Close Long,3.7938,22.96,83.4022,3.62,4.34,0.09,7.79,9.34,-2.62,-3.13,-12.94,-12.94,131
22,Entry long,2025-09-16 21:30,Long,3.6325,22.96,83.4022,3.62,4.34,0.09,7.79,9.34,-2.62,-3.13,-12.94,-12.94,131
23,Exit short,2025-09-27 03:30,Close Short,3.2077,22.83,87.039375,13.73,15.76,0.08,17.05,19.58,-0.35,-0.41,0.78,0.78,360
23,Entry short,2025-09-19 15:30,Short,3.8125,22.83,87.039375,13.73,15.76,0.08,17.05,19.58,-0.35,-0.41,0.78,0.78,360
24,Exit long,2025-09-28 10:00,Close Long,3.1392,31.45,100.768945,-2.14,-2.12,0.1,0.76,0.75,-2.19,-2.17,-1.36,-1.36,60
24,Entry long,2025-09-27 04:00,Long,3.2041,31.45,100.768945,-2.14,-2.12,0.1,0.76,0.75,-2.19,-2.17,-1.36,-1.36,60
25,Exit short,2025-09-29 04:30,Close Short,3.2346,31.31,98.623369,-2.75,-2.79,0.1,1.74,1.76,-2.74,-2.78,-4.11,-4.11,36
25,Entry short,2025-09-28 10:30,Short,3.1499,31.31,98.623369,-2.75,-2.79,0.1,1.74,1.76,-2.74,-2.78,-4.11,-4.11,36
26,Exit long,2025-09-30 23:30,Close Long,3.1697,29.66,95.881882,-1.96,-2.05,0.09,2.76,2.87,-2.24,-2.33,-6.07,-6.07,85
26,Entry long,2025-09-29 05:00,Long,3.2327,29.66,95.881882,-1.96,-2.05,0.09,2.76,2.87,-2.24,-2.33,-6.07,-6.07,85
27,Exit short,2025-10-01 06:30,Close Short,3.2713,29.69,93.90947,-3.31,-3.52,0.1,0.32,0.34,-4.44,-4.73,-9.38,-9.38,13
27,Entry short,2025-10-01 00:00,Short,3.163,29.69,93.90947,-3.31,-3.52,0.1,0.32,0.34,-4.44,-4.73,-9.38,-9.38,13
28,Exit long,2025-10-07 22:30,Close Long,3.5265,27.84,90.594144,7.49,8.26,0.09,12.63,13.93,-1.18,-1.30,-1.9,-1.90,319
28,Entry long,2025-10-01 07:00,Long,3.2541,27.84,90.594144,7.49,8.26,0.09,12.63,13.93,-1.18,-1.30,-1.9,-1.90,319
29,Exit short,2025-10-09 03:30,Close Short,3.5322,27.85,98.079345,-0.39,-0.40,0.1,2.69,2.75,-1.24,-1.27,-2.29,-2.29,57
