trade_number,direction,entry_time_utc,exit_time_utc,entry_price_usdt,exit_price_usdt,size_qty,size_value_usdt,net_pnl_usdt,return_pct,favorable_excursion_usdt,favorable_excursion_pct,adverse_excursion_usdt,adverse_excursion_pct,cumulative_pnl_usdt,cumulative_pnl_pct,duration_bars,entry_signal,exit_signal
1,long,2025-08-05T23:30:00Z,2025-08-10T07:30:00Z,3.4127,3.8068,20.08,68.527016,7.84,11.44,11.88,17.33,-1.8,-2.63,7.84,7.84,208,Long,Long Exit
2,long,2025-08-12T00:30:00Z,2025-08-14T06:00:00Z,3.6779,3.9888,22.12,81.355148,6.79,8.34,11.15,13.70,-1.83,-2.24,14.63,14.63,107,Long,Long Exit
3,long,2025-08-14T23:30:00Z,2025-08-18T00:00:00Z,3.7526,3.7526,16.36,61.392536,-0.06,-0.10,2.27,3.69,-2.27,-3.69,14.57,14.57,145,Long,Long Exit
4,long,2025-08-18T13:30:00Z,2025-08-19T16:30:00Z,3.5889,3.4794,20.93,75.115677,-2.37,-3.15,1.75,2.33,-2.33,-3.10,12.21,12.21,54,Long,Long Exit
5,long,2025-08-20T01:30:00Z,2025-08-21T10:00:00Z,3.4489,3.4489,27.23,93.913547,-0.09,-0.10,3.72,3.96,-2,-2.13,12.11,12.11,65,Long,Long Exit
6,long,2025-08-21T13:30:00Z,2025-08-22T12:00:00Z,3.4448,3.3415,21.64,74.545472,-2.31,-3.10,0.68,0.92,-2.27,-3.05,9.8,9.80,45,Long,Long Exit
7,long,2025-08-22T14:00:00Z,2025-08-24T19:30:00Z,3.3625,3.6351,20.45,68.763125,5.5,8.00,9.93,14.44,-0.05,-0.07,15.31,15.31,107,Long,Long Exit
8,long,2025-08-26T01:30:00Z,2025-08-29T07:00:00Z,3.3653,3.3653,20.22,68.046366,-0.07,-0.10,3.27,4.80,-0.46,-0.68,15.24,15.24,155,Long,Long Exit
9,long,2025-08-29T13:00:00Z,2025-08-29T18:00:00Z,3.3643,3.2406,18.7,62.91241,-2.37,-3.77,0.02,0.04,-2.34,-3.72,12.86,12.86,10,Long,Long Exit
10,long,2025-08-29T22:30:00Z,2025-09-01T02:00:00Z,3.2679,3.1821,26.28,85.880412,-2.34,-2.72,2.13,2.47,-2.3,-2.67,10.52,10.52,103,Long,Long Exit
11,long,2025-09-01T07:00:00Z,2025-09-01T20:30:00Z,3.1891,3.1891,29.17,93.026047,-0.09,-0.10,4.29,4.60,-0.52,-0.56,10.43,10.43,27,Long,Long Exit
12,long,2025-09-01T23:30:00Z,2025-09-08T00:00:00Z,3.1712,3.3947,22.46,71.225152,4.95,6.94,6.3,8.84,-0.26,-0.37,15.38,15.38,289,Long,Close entry(s) order Long
13,short,2025-09-08T18:00:00Z,2025-09-09T06:00:00Z,3.456,3.5316,30.49,105.37344,-2.41,-2.29,0.97,0.92,-2.36,-2.24,12.97,12.97,24,Short,Short Exit
14,short,2025-09-09T13:00:00Z,2025-09-10T02:30:00Z,3.5511,3.5511,24.72,87.783192,-0.09,-0.10,3.04,3.46,-0.38,-0.43,12.88,12.88,27,Short,Short Exit
15,short,2025-09-11T02:00:00Z,2025-09-11T12:30:00Z,3.6118,3.6646,42.88,154.873984,-2.42,-1.56,0.79,0.51,-2.34,-1.51,10.46,10.46,21,Short,Short Exit
16,short,2025-09-12T02:00:00Z,2025-09-12T17:00:00Z,3.6587,3.6587,32.58,119.200446,-0.12,-0.10,2.41,2.02,-1.02,-0.85,10.34,10.34,30,Short,Short Exit
17,short,2025-09-13T03:00:00Z,2025-09-13T08:00:00Z,3.7169,3.7739,38.8,144.21572,-2.36,-1.63,0.28,0.19,-2.28,-1.58,7.98,7.98,10,Short,Short Exit
18,short,2025-09-13T14:00:00Z,2025-09-17T22:00:00Z,3.7894,3.7248,16.12,61.085128,0.98,1.60,5.33,8.72,-0.96,-1.58,8.96,8.96,208,Short,Short Exit
19,short,2025-09-18T14:00:00Z,2025-09-18T15:30:00Z,3.8728,3.9607,24.79,96.006712,-2.28,-2.37,0,0.00,-2.23,-2.32,6.69,6.69,3,Short,Short Exit
20,short,2025-09-18T21:30:00Z,2025-09-22T06:30:00Z,3.9372,3.3613,29.43,115.871796,16.84,14.53,21.16,18.25,-0.12,-0.10,23.53,23.53,162,Short,Short Exit
21,long,2025-09-24T04:30:00Z,2025-09-25T04:00:00Z,3.2837,3.2837,21.87,71.814519,-0.07,-0.10,3.36,4.67,-0.04,-0.05,23.46,23.46,47,Long,Long Exit
22,long,2025-09-25T05:30:00Z,2025-09-25T11:30:00Z,3.2859,3.1624,19.97,65.619423,-2.53,-3.85,0.01,0.01,-2.5,-3.81,20.92,20.92,12,Long,Long Exit
23,long,2025-09-25T14:00:00Z,2025-09-25T17:30:00Z,3.1898,3.069,20.03,63.891694,-2.48,-3.88,1.16,1.82,-2.45,-3.84,18.44,18.44,7,Long,Long Exit
24,short,2025-09-29T10:00:00Z,2025-09-30T19:30:00Z,3.2681,3.2681,25.42,83.075102,-0.08,-0.10,2.94,3.54,-1.55,-1.86,18.36,18.36,67,Short,Short Exit
25,short,2025-10-02T09:30:00Z,2025-10-02T16:00:00Z,3.5656,3.5656,43.03,153.427768,-0.15,-0.10,3.64,2.37,-1.2,-0.78,18.21,18.21,13,Short,Short Exit
26,long,2025-10-04T13:00:00Z,2025-10-05T19:00:00Z,3.5313,3.5514,34.12,120.487956,0.56,0.47,5.35,4.44,-1.13,-0.94,18.77,18.77,60,Long,Long Exit
27,short,2025-10-06T16:30:00Z,2025-10-10T21:30:00Z,3.6416,1.9201,24.8,90.31168,42.62,47.17,76.41,84.57,-1.73,-1.91,61.4,61.40,202,Short,Short Exit
28,short,2025-10-14T02:00:00Z,2025-10-14T16:00:00Z,2.935,2.863,30.33,89.01855,2.1,2.35,8.6,9.65,-0.11,-0.13,63.49,63.49,28,Short,Short Exit
29,long,2025-10-16T01:30:00Z,2025-10-16T09:30:00Z,2.6797,2.6048,43.62,116.888514,-3.38,-2.89,1.55,1.33,-3.33,-2.84,60.11,60.11,16,Long,Long Exit
30,long,2025-10-17T04:30:00Z,2025-10-17T06:30:00Z,2.5202,2.4442,42.18,106.302036,-3.31,-3.11,0.65,0.61,-3.26,-3.06,56.8,56.80,4,Long,Long Exit
31,short,2025-10-19T20:00:00Z,2025-10-20T03:30:00Z,2.6042,2.6042,48.59,126.538078,-0.13,-0.10,4.07,3.21,-0.71,-0.56,56.67,56.67,15,Short,Short Exit
32,short,2025-10-20T09:30:00Z,2025-10-21T14:30:00Z,2.6276,2.6276,37.29,97.983204,-0.1,-0.10,5.89,6.01,-0.56,-0.57,56.57,56.57,58,Short,Short Exit
33,long,2025-10-22T07:00:00Z,2025-10-22T21:00:00Z,2.4142,2.3462,46.14,111.391188,-3.25,-2.91,2.68,2.40,-3.19,-2.87,53.33,53.33,28,Long,Long Exit
34,short,2025-10-24T11:00:00Z,2025-10-24T12:30:00Z,2.468,2.5169,62.81,155.01508,-3.23,-2.08,1.21,0.78,-3.15,-2.03,50.1,50.10,3,Short,Short Exit
35,short,2025-10-24T14:00:00Z,2025-10-24T18:30:00Z,2.4974,2.4974,53.32,133.161368,-0.13,-0.10,2.95,2.21,-0.07,-0.05,49.97,49.97,9,Short,Short Exit
36,short,2025-10-25T05:30:00Z,2025-10-25T14:30:00Z,2.5207,2.5207,65.34,164.702538,-0.16,-0.10,3.55,2.15,-0.15,-0.09,49.8,49.80,18,Short,Short Exit
37,short,2025-10-25T22:00:00Z,2025-10-26T09:00:00Z,2.5343,2.5739,75.84,192.201312,-3.2,-1.66,2.89,1.50,-3.1,-1.61,46.6,46.60,22,Short,Short Exit
38,short,2025-10-26T10:30:00Z,2025-10-26T12:00:00Z,2.5603,2.6114,57.4,146.96122,-3.08,-2.10,0.55,0.38,-3.01,-2.04,43.52,43.52,3,Short,Short Exit
39,short,2025-10-26T17:30:00Z,2025-10-26T22:00:00Z,2.6255,2.6714,62.78,164.82889,-3.05,-1.85,1.4,0.85,-2.96,-1.80,40.47,40.47,9,Short,Short Exit
40,short,2025-10-27T03:30:00Z,2025-10-27T17:00:00Z,2.6674,2.6674,49.03,130.782622,-0.13,-0.10,4.51,3.45,-2.52,-1.92,40.34,40.34,27,Short,Short Exit
41,long,2025-10-28T23:30:00Z,2025-10-29T18:30:00Z,2.5038,2.5038,46.39,116.151282,-0.12,-0.10,3.5,3.02,-1.3,-1.12,40.23,40.23,38,Long,Long Exit
42,long,2025-10-30T23:00:00Z,2025-11-03T02:00:00Z,2.2771,2.2771,40.59,92.427489,-0.09,-0.10,5.04,5.45,-0.5,-0.55,40.13,40.13,150,Long,Long Exit
43,long,2025-11-03T15:00:00Z,2025-11-03T15:30:00Z,2.1804,2.0763,40.8,88.96032,-4.33,-4.87,0.12,0.14,-4.9,-5.50,35.8,35.80,1,Long,Long Exit
44,short,2025-11-09T23:00:00Z,2025-11-10T09:30:00Z,2.1502,2.1973,57.6,123.85152,-2.84,-2.29,1.3,1.05,-2.77,-2.24,32.96,32.96,21,Short,Short Exit
45,long,2025-11-11T18:00:00Z,2025-11-11T21:30:00Z,2.0728,2.0134,44.73,92.716344,-2.75,-2.96,0.3,0.32,-2.7,-2.91,30.21,30.21,7,Long,Long Exit
