Trade number,Type,Date and time,Signal,Price USDT,Size (qty),Size (value),Net PnL USDT,Return %,Commission USDT,Favorable excursion USDT,Favorable excursion %,Adverse excursion USDT,Adverse excursion %,Cumulative PnL USDT,Cumulative PnL %,Duration (bars)
1,Exit long,2025-08-10 15:30,Long Exit,3.8068,20.08,68.527016,7.84,11.44,0.07,11.88,17.33,-1.8,-2.63,7.84,7.84,208
1,Entry long,2025-08-06 07:30,Long,3.4127,20.08,68.527016,7.84,11.44,0.07,11.88,17.33,-1.8,-2.63,7.84,7.84,208
2,Exit long,2025-08-14 14:00,Long Exit,3.9888,22.12,81.355148,6.79,8.34,0.08,11.15,13.70,-1.83,-2.24,14.63,14.63,107
2,Entry long,2025-08-12 08:30,Long,3.6779,22.12,81.355148,6.79,8.34,0.08,11.15,13.70,-1.83,-2.24,14.63,14.63,107
3,Exit long,2025-08-18 08:00,Long Exit,3.7526,16.36,61.392536,-0.06,-0.10,0.06,2.27,3.69,-2.27,-3.69,14.57,14.57,145
3,Entry long,2025-08-15 07:30,Long,3.7526,16.36,61.392536,-0.06,-0.10,0.06,2.27,3.69,-2.27,-3.69,14.57,14.57,145
4,Exit long,2025-08-20 00:30,Long Exit,3.4794,20.93,75.115677,-2.37,-3.15,0.07,1.75,2.33,-2.33,-3.10,12.21,12.21,54
4,Entry long,2025-08-18 21:30,Long,3.5889,20.93,75.115677,-2.37,-3.15,0.07,1.75,2.33,-2.33,-3.10,12.21,12.21,54
5,Exit long,2025-08-21 18:00,Long Exit,3.4489,27.23,93.913547,-0.09,-0.10,0.09,3.72,3.96,-2,-2.13,12.11,12.11,65
5,Entry long,2025-08-20 09:30,Long,3.4489,27.23,93.913547,-0.09,-0.10,0.09,3.72,3.96,-2,-2.13,12.11,12.11,65
6,Exit long,2025-08-22 20:00,Long Exit,3.3415,21.64,74.545472,-2.31,-3.10,0.07,0.68,0.92,-2.27,-3.05,9.8,9.80,45
6,Entry long,2025-08-21 21:30,Long,3.4448,21.64,74.545472,-2.31,-3.10,0.07,0.68,0.92,-2.27,-3.05,9.8,9.80,45
7,Exit long,2025-08-25 03:30,Long Exit,3.6351,20.45,68.763125,5.5,8.00,0.07,9.93,14.44,-0.05,-0.07,15.31,15.31,107
7,Entry long,2025-08-22 22:00,Long,3.3625,20.45,68.763125,5.5,8.00,0.07,9.93,14.44,-0.05,-0.07,15.31,15.31,107
8,Exit long,2025-08-29 15:00,Long Exit,3.3653,20.22,68.046366,-0.07,-0.10,0.07,3.27,4.80,-0.46,-0.68,15.24,15.24,155
8,Entry long,2025-08-26 09:30,Long,3.3653,20.22,68.046366,-0.07,-0.10,0.07,3.27,4.80,-0.46,-0.68,15.24,15.24,155
9,Exit long,2025-08-30 02:00,Long Exit,3.2406,18.7,62.91241,-2.37,-3.77,0.06,0.02,0.04,-2.34,-3.72,12.86,12.86,10
9,Entry long,2025-08-29 21:00,Long,3.3643,18.7,62.91241,-2.37,-3.77,0.06,0.02,0.04,-2.34,-3.72,12.86,12.86,10
10,Exit long,2025-09-01 10:00,Long Exit,3.1821,26.28,85.880412,-2.34,-2.72,0.08,2.13,2.47,-2.3,-2.67,10.52,10.52,103
10,Entry long,2025-08-30 06:30,Long,3.2679,26.28,85.880412,-2.34,-2.72,0.08,2.13,2.47,-2.3,-2.67,10.52,10.52,103
11,Exit long,2025-09-02 04:30,Long Exit,3.1891,29.17,93.026047,-0.09,-0.10,0.09,4.29,4.60,-0.52,-0.56,10.43,10.43,27
11,Entry long,2025-09-01 15:00,Long,3.1891,29.17,93.026047,-0.09,-0.10,0.09,4.29,4.60,-0.52,-0.56,10.43,10.43,27
12,Exit long,2025-09-08 08:00,Close entry(s) order Long,3.3947,22.46,71.225152,4.95,6.94,0.07,6.3,8.84,-0.26,-0.37,15.38,15.38,289
12,Entry long,2025-09-02 07:30,Long,3.1712,22.46,71.225152,4.95,6.94,0.07,6.3,8.84,-0.26,-0.37,15.38,15.38,289
13,Exit short,2025-09-09 14:00,Short Exit,3.5316,30.49,105.37344,-2.41,-2.29,0.11,0.97,0.92,-2.36,-2.24,12.97,12.97,24
13,Entry short,2025-09-09 02:00,Short,3.456,30.49,105.37344,-2.41,-2.29,0.11,0.97,0.92,-2.36,-2.24,12.97,12.97,24
14,Exit short,2025-09-10 10:30,Short Exit,3.5511,24.72,87.783192,-0.09,-0.10,0.09,3.04,3.46,-0.38,-0.43,12.88,12.88,27
14,Entry short,2025-09-09 21:00,Short,3.5511,24.72,87.783192,-0.09,-0.10,0.09,3.04,3.46,-0.38,-0.43,12.88,12.88,27
15,Exit short,2025-09-11 20:30,Short Exit,3.6646,42.88,154.873984,-2.42,-1.56,0.16,0.79,0.51,-2.34,-1.51,10.46,10.46,21
15,Entry short,2025-09-11 10:00,Short,3.6118,42.88,154.873984,-2.42,-1.56,0.16,0.79,0.51,-2.34,-1.51,10.46,10.46,21
16,Exit short,2025-09-13 01:00,Short Exit,3.6587,32.58,119.200446,-0.12,-0.10,0.12,2.41,2.02,-1.02,-0.85,10.34,10.34,30
16,Entry short,2025-09-12 10:00,Short,3.6587,32.58,119.200446,-0.12,-0.10,0.12,2.41,2.02,-1.02,-0.85,10.34,10.34,30
17,Exit short,2025-09-13 16:00,Short Exit,3.7739,38.8,144.21572,-2.36,-1.63,0.15,0.28,0.19,-2.28,-1.58,7.98,7.98,10
17,Entry short,2025-09-13 11:00,Short,3.7169,38.8,144.21572,-2.36,-1.63,0.15,0.28,0.19,-2.28,-1.58,7.98,7.98,10
18,Exit short,2025-09-18 06:00,Short Exit,3.7248,16.12,61.085128,0.98,1.60,0.06,5.33,8.72,-0.96,-1.58,8.96,8.96,208
18,Entry short,2025-09-13 22:00,Short,3.7894,16.12,61.085128,0.98,1.60,0.06,5.33,8.72,-0.96,-1.58,8.96,8.96,208
19,Exit short,2025-09-18 23:30,Short Exit,3.9607,24.79,96.006712,-2.28,-2.37,0.1,0,0.00,-2.23,-2.32,6.69,6.69,3
19,Entry short,2025-09-18 22:00,Short,3.8728,24.79,96.006712,-2.28,-2.37,0.1,0,0.00,-2.23,-2.32,6.69,6.69,3
20,Exit short,2025-09-22 14:30,Short Exit,3.3613,29.43,115.871796,16.84,14.53,0.11,21.16,18.25,-0.12,-0.10,23.53,23.53,162
20,Entry short,2025-09-19 05:30,Short,3.9372,29.43,115.871796,16.84,14.53,0.11,21.16,18.25,-0.12,-0.10,23.53,23.53,162
21,Exit long,2025-09-25 12:00,Long Exit,3.2837,21.87,71.814519,-0.07,-0.10,0.07,3.36,4.67,-0.04,-0.05,23.46,23.46,47
21,Entry long,2025-09-24 12:30,Long,3.2837,21.87,71.814519,-0.07,-0.10,0.07,3.36,4.67,-0.04,-0.05,23.46,23.46,47
22,Exit long,2025-09-25 19:30,Long Exit,3.1624,19.97,65.619423,-2.53,-3.85,0.06,0.01,0.01,-2.5,-3.81,20.92,20.92,12
22,Entry long,2025-09-25 13:30,Long,3.2859,19.97,65.619423,-2.53,-3.85,0.06,0.01,0.01,-2.5,-3.81,20.92,20.92,12
23,Exit long,2025-09-26 01:30,Long Exit,3.069,20.03,63.891694,-2.48,-3.88,0.06,1.16,1.82,-2.45,-3.84,18.44,18.44,7
23,Entry long,2025-09-25 22:00,Long,3.1898,20.03,63.891694,-2.48,-3.88,0.06,1.16,1.82,-2.45,-3.84,18.44,18.44,7
24,Exit short,2025-10-01 03:30,Short Exit,3.2681,25.42,83.075102,-0.08,-0.10,0.08,2.94,3.54,-1.55,-1.86,18.36,18.36,67
24,Entry short,2025-09-29 18:00,Short,3.2681,25.42,83.075102,-0.08,-0.10,0.08,2.94,3.54,-1.55,-1.86,18.36,18.36,67
25,Exit short,2025-10-03 00:00,Short Exit,3.5656,43.03,153.427768,-0.15,-0.10,0.15,3.64,2.37,-1.2,-0.78,18.21,18.21,13
25,Entry short,2025-10-02 17:30,Short,3.5656,43.03,153.427768,-0.15,-0.10,0.15,3.64,2.37,-1.2,-0.78,18.21,18.21,13
26,Exit long,2025-10-06 03:00,Long Exit,3.5514,34.12,120.487956,0.56,0.47,0.12,5.35,4.44,-1.13,-0.94,18.77,18.77,60
26,Entry long,2025-10-04 21:00,Long,3.5313,34.12,120.487956,0.56,0.47,0.12,5.35,4.44,-1.13,-0.94,18.77,18.77,60
27,Exit short,2025-10-11 05:30,Short Exit,1.9201,24.8,90.31168,42.62,47.17,0.07,76.41,84.57,-1.73,-1.91,61.4,61.40,202
27,Entry short,2025-10-07 00:30,Short,3.6416,24.8,90.31168,42.62,47.17,0.07,76.41,84.57,-1.73,-1.91,61.4,61.40,202
28,Exit short,2025-10-15 00:00,Short Exit,2.863,30.33,89.01855,2.1,2.35,0.09,8.6,9.65,-0.11,-0.13,63.49,63.49,28
28,Entry short,2025-10-14 10:00,Short,2.935,30.33,89.01855,2.1,2.35,0.09,8.6,9.65,-0.11,-0.13,63.49,63.49,28
29,Exit long,2025-10-16 17:30,Long Exit,2.6048,43.62,116.888514,-3.38,-2.89,0.12,1.55,1.33,-3.33,-2.84,60.11,60.11,16
29,Entry long,2025-10-16 09:30,Long,2.6797,43.62,116.888514,-3.38,-2.89,0.12,1.55,1.33,-3.33,-2.84,60.11,60.11,16
30,Exit long,2025-10-17 14:30,Long Exit,2.4442,42.18,106.302036,-3.31,-3.11,0.1,0.65,0.61,-3.26,-3.06,56.8,56.80,4
30,Entry long,2025-10-17 12:30,Long,2.5202,42.18,106.302036,-3.31,-3.11,0.1,0.65,0.61,-3.26,-3.06,56.8,56.80,4
31,Exit short,2025-10-20 11:30,Short Exit,2.6042,48.59,126.538078,-0.13,-0.10,0.13,4.07,3.21,-0.71,-0.56,56.67,56.67,15
31,Entry short,2025-10-20 04:00,Short,2.6042,48.59,126.538078,-0.13,-0.10,0.13,4.07,3.21,-0.71,-0.56,56.67,56.67,15
32,Exit short,2025-10-21 22:30,Short Exit,2.6276,37.29,97.983204,-0.1,-0.10,0.1,5.89,6.01,-0.56,-0.57,56.57,56.57,58
32,Entry short,2025-10-20 17:30,Short,2.6276,37.29,97.983204,-0.1,-0.10,0.1,5.89,6.01,-0.56,-0.57,56.57,56.57,58
33,Exit long,2025-10-23 05:00,Long Exit,2.3462,46.14,111.391188,-3.25,-2.91,0.11,2.68,2.40,-3.19,-2.87,53.33,53.33,28
33,Entry long,2025-10-22 15:00,Long,2.4142,46.14,111.391188,-3.25,-2.91,0.11,2.68,2.40,-3.19,-2.87,53.33,53.33,28
34,Exit short,2025-10-24 20:30,Short Exit,2.5169,62.81,155.01508,-3.23,-2.08,0.16,1.21,0.78,-3.15,-2.03,50.1,50.10,3
34,Entry short,2025-10-24 19:00,Short,2.468,62.81,155.01508,-3.23,-2.08,0.16,1.21,0.78,-3.15,-2.03,50.1,50.10,3
35,Exit short,2025-10-25 02:30,Short Exit,2.4974,53.32,133.161368,-0.13,-0.10,0.13,2.95,2.21,-0.07,-0.05,49.97,49.97,9
35,Entry short,2025-10-24 22:00,Short,2.4974,53.32,133.161368,-0.13,-0.10,0.13,2.95,2.21,-0.07,-0.05,49.97,49.97,9
36,Exit short,2025-10-25 22:30,Short Exit,2.5207,65.34,164.702538,-0.16,-0.10,0.16,3.55,2.15,-0.15,-0.09,49.8,49.80,18
36,Entry short,2025-10-25 13:30,Short,2.5207,65.34,164.702538,-0.16,-0.10,0.16,3.55,2.15,-0.15,-0.09,49.8,49.80,18
37,Exit short,2025-10-26 17:00,Short Exit,2.5739,75.84,192.201312,-3.2,-1.66,0.19,2.89,1.50,-3.1,-1.61,46.6,46.60,22
37,Entry short,2025-10-26 06:00,Short,2.5343,75.84,192.201312,-3.2,-1.66,0.19,2.89,1.50,-3.1,-1.61,46.6,46.60,22
38,Exit short,2025-10-26 20:00,Short Exit,2.6114,57.4,146.96122,-3.08,-2.10,0.15,0.55,0.38,-3.01,-2.04,43.52,43.52,3
38,Entry short,2025-10-26 18:30,Short,2.5603,57.4,146.96122,-3.08,-2.10,0.15,0.55,0.38,-3.01,-2.04,43.52,43.52,3
39,Exit short,2025-10-27 06:00,Short Exit,2.6714,62.78,164.82889,-3.05,-1.85,0.17,1.4,0.85,-2.96,-1.80,40.47,40.47,9
