trade_number,direction,entry_time_utc,exit_time_utc,entry_price_usdt,exit_price_usdt,size_qty,size_value_usdt,net_pnl_usdt,return_pct,favorable_excursion_usdt,favorable_excursion_pct,adverse_excursion_usdt,adverse_excursion_pct,cumulative_pnl_usdt,cumulative_pnl_pct,duration_bars,entry_signal,exit_signal
1,short,2025-08-01T08:00:00Z,2025-08-02T04:30:00Z,3.5248,3.5248,14.94,52.660512,-0.05,-0.10,2.6,4.93,-1.07,-2.03,-0.05,-0.05,41,Short,Short Exit
2,short,2025-08-02T15:00:00Z,2025-08-04T14:00:00Z,3.3768,3.5323,12.87,43.459416,-2.05,-4.70,1.42,3.28,-2.02,-4.65,-2.1,-2.10,94,Short,Short Exit
3,short,2025-08-05T19:30:00Z,2025-08-06T16:00:00Z,3.3857,3.5053,16.36,55.390052,-2.01,-3.63,0.97,1.75,-1.98,-3.58,-4.11,-4.11,41,Short,Short Exit
4,long,2025-08-07T10:30:00Z,2025-08-11T11:00:00Z,3.586,3.8063,12.51,44.86086,2.71,6.04,5.23,11.66,-0.03,-0.08,-1.4,-1.40,193,Long,Close entry(s) order Long
5,long,2025-08-12T21:00:00Z,2025-08-13T15:00:00Z,3.9162,3.9162,15.02,58.821324,-0.06,-0.10,2.34,3.98,-1.54,-2.61,-1.46,-1.46,36,Long,Long Exit
6,long,2025-08-14T03:30:00Z,2025-08-14T08:30:00Z,4.1396,3.9471,10.23,42.348108,-2.01,-4.75,0.43,1.02,-1.99,-4.70,-3.47,-3.47,10,Long,Long Exit
7,short,2025-08-14T21:30:00Z,2025-08-15T08:00:00Z,3.6749,3.8698,9.9,36.38151,-1.97,-5.40,0.25,0.68,-1.95,-5.35,-5.44,-5.44,21,Short,Short Exit
8,short,2025-08-15T16:00:00Z,2025-08-17T04:30:00Z,3.6496,3.8132,11.58,42.262368,-1.94,-4.58,0.37,0.87,-1.92,-4.53,-7.38,-7.38,73,Short,Short Exit
9,long,2025-08-17T12:00:00Z,2025-08-17T23:30:00Z,3.8411,3.763,23.71,91.072481,-1.94,-2.13,1.19,1.30,-1.9,-2.08,-9.32,-9.32,23,Long,Long Exit
10,short,2025-08-18T02:30:00Z,2025-08-22T03:00:00Z,3.6454,3.439,11.04,40.245216,2.24,5.56,2.94,7.31,-0.34,-0.85,-7.08,-7.08,193,Short,Close entry(s) order Short
11,short,2025-08-22T12:30:00Z,2025-08-22T14:00:00Z,3.3327,3.4337,18.4,61.32168,-1.92,-3.13,0.54,0.87,-1.89,-3.08,-9,-9.00,3,Short,Short Exit
12,long,2025-08-22T17:30:00Z,2025-08-25T06:30:00Z,3.7362,3.5384,9.2,34.37304,-1.85,-5.39,1.03,2.99,-1.84,-5.34,-10.85,-10.85,122,Long,Long Exit
13,short,2025-08-29T08:00:00Z,2025-09-02T08:30:00Z,3.3541,3.2724,12.98,43.536218,1.02,2.34,3.2,7.35,-0.64,-1.47,-9.83,-9.83,193,Short,Close entry(s) order Short
14,long,2025-09-02T22:30:00Z,2025-09-04T05:00:00Z,3.3075,3.3075,22.16,73.2942,-0.07,-0.10,2.14,2.91,-0.98,-1.33,-9.91,-9.91,61,Long,Long Exit
15,long,2025-09-05T07:30:00Z,2025-09-09T08:00:00Z,3.3864,3.6078,23.3,78.90312,5.08,6.43,5.22,6.61,-1.81,-2.29,-4.83,-4.83,193,Long,Close entry(s) order Long
16,long,2025-09-11T00:30:00Z,2025-09-11T12:30:00Z,3.6386,3.5535,22.4,81.50464,-1.99,-2.44,0.59,0.72,-1.95,-2.39,-6.82,-6.82,24,Long,Long Exit
17,long,2025-09-12T00:30:00Z,2025-09-12T12:00:00Z,3.6693,3.5994,26.68,97.896924,-1.96,-2.00,0.77,0.78,-1.91,-1.95,-8.78,-8.78,23,Long,Long Exit
18,long,2025-09-12T19:30:00Z,2025-09-14T12:30:00Z,3.6916,3.7154,27.44,101.297504,0.55,0.54,5.16,5.09,-0.67,-0.66,-8.23,-8.23,82,Long,Long Exit
19,short,2025-09-15T10:30:00Z,2025-09-16T13:30:00Z,3.5288,3.6397,16.58,58.507504,-1.9,-3.24,1.16,1.99,-1.87,-3.19,-10.13,-10.13,54,Short,Short Exit
20,long,2025-09-17T22:30:00Z,2025-09-19T10:00:00Z,3.7548,3.7548,10.1,37.92348,-0.04,-0.10,2.19,5.78,-0.08,-0.22,-10.16,-10.16,71,Long,Long Exit
21,short,2025-09-22T02:00:00Z,2025-09-26T02:30:00Z,3.5238,3.1547,17.19,60.574122,6.29,10.37,7.88,12.99,-0.28,-0.47,-3.88,-3.88,193,Short,Close entry(s) order Short
22,long,2025-09-28T20:30:00Z,2025-09-29T10:30:00Z,3.2346,3.2346,23.38,75.624948,-0.08,-0.10,2.09,2.76,-0.39,-0.51,-3.95,-3.95,28,Long,Long Exit
23,long,2025-10-01T10:30:00Z,2025-10-05T11:00:00Z,3.3929,3.596,20.49,69.520521,4.09,5.88,6.05,8.70,-0.27,-0.39,0.14,0.14,193,Long,Close entry(s) order Long
24,long,2025-10-06T16:00:00Z,2025-10-07T08:00:00Z,3.6719,3.5674,19.17,70.390323,-2.07,-2.94,0.68,0.97,-2.04,-2.89,-1.93,-1.93,32,Long,Long Exit
25,short,2025-10-07T15:00:00Z,2025-10-10T21:30:00Z,3.5217,1.9201,15.34,54.022878,24.53,45.38,45.43,84.05,-0.69,-1.27,22.59,22.59,157,Short,Short Exit
26,long,2025-10-13T19:30:00Z,2025-10-14T05:30:00Z,2.934,2.7772,15.64,45.88776,-2.5,-5.44,1.22,2.65,-2.48,-5.39,20.09,20.09,20,Long,Long Exit
27,short,2025-10-15T17:00:00Z,2025-10-16T10:00:00Z,2.7056,2.7056,21.57,58.359792,-0.06,-0.10,2.97,5.08,-0.46,-0.80,20.04,20.04,34,Short,Short Exit
28,short,2025-10-16T20:00:00Z,2025-10-19T10:30:00Z,2.5491,2.5491,16.04,40.887564,-0.04,-0.10,4.31,10.53,-0.25,-0.60,20,20.00,125,Short,Short Exit
29,long,2025-10-19T14:30:00Z,2025-10-21T04:00:00Z,2.641,2.5082,18.03,47.61723,-2.44,-5.12,0.64,1.35,-2.42,-5.08,17.55,17.55,75,Long,Long Exit
30,short,2025-10-21T06:00:00Z,2025-10-21T14:00:00Z,2.479,2.5518,32.32,80.12128,-2.43,-3.04,0.31,0.38,-2.39,-2.99,15.12,15.12,16,Short,Short Exit
