Trade number,Type,Date and time,Signal,Price USDT,Size (qty),Size (value),Net PnL USDT,Return %,Commission USDT,Favorable excursion USDT,Favorable excursion %,Adverse excursion USDT,Adverse excursion %,Cumulative PnL USDT,Cumulative PnL %,Duration (bars)
1,Exit short,2025-08-02 12:30,Short Exit,3.5248,14.94,52.660512,-0.05,-0.10,0.05,2.6,4.93,-1.07,-2.03,-0.05,-0.05,41
1,Entry short,2025-08-01 16:00,Short,3.5248,14.94,52.660512,-0.05,-0.10,0.05,2.6,4.93,-1.07,-2.03,-0.05,-0.05,41
2,Exit short,2025-08-04 22:00,Short Exit,3.5323,12.87,43.459416,-2.05,-4.70,0.04,1.42,3.28,-2.02,-4.65,-2.1,-2.10,94
2,Entry short,2025-08-02 23:00,Short,3.3768,12.87,43.459416,-2.05,-4.70,0.04,1.42,3.28,-2.02,-4.65,-2.1,-2.10,94
3,Exit short,2025-08-07 00:00,Short Exit,3.5053,16.36,55.390052,-2.01,-3.63,0.06,0.97,1.75,-1.98,-3.58,-4.11,-4.11,41
3,Entry short,2025-08-06 03:30,Short,3.3857,16.36,55.390052,-2.01,-3.63,0.06,0.97,1.75,-1.98,-3.58,-4.11,-4.11,41
4,Exit long,2025-08-11 19:00,Close entry(s) order Long,3.8063,12.51,44.86086,2.71,6.04,0.05,5.23,11.66,-0.03,-0.08,-1.4,-1.40,193
4,Entry long,2025-08-07 18:30,Long,3.586,12.51,44.86086,2.71,6.04,0.05,5.23,11.66,-0.03,-0.08,-1.4,-1.40,193
5,Exit long,2025-08-13 23:00,Long Exit,3.9162,15.02,58.821324,-0.06,-0.10,0.06,2.34,3.98,-1.54,-2.61,-1.46,-1.46,36
5,Entry long,2025-08-13 05:00,Long,3.9162,15.02,58.821324,-0.06,-0.10,0.06,2.34,3.98,-1.54,-2.61,-1.46,-1.46,36
6,Exit long,2025-08-14 16:30,Long Exit,3.9471,10.23,42.348108,-2.01,-4.75,0.04,0.43,1.02,-1.99,-4.70,-3.47,-3.47,10
6,Entry long,2025-08-14 11:30,Long,4.1396,10.23,42.348108,-2.01,-4.75,0.04,0.43,1.02,-1.99,-4.70,-3.47,-3.47,10
7,Exit short,2025-08-15 16:00,Short Exit,3.8698,9.9,36.38151,-1.97,-5.40,0.04,0.25,0.68,-1.95,-5.35,-5.44,-5.44,21
7,Entry short,2025-08-15 05:30,Short,3.6749,9.9,36.38151,-1.97,-5.40,0.04,0.25,0.68,-1.95,-5.35,-5.44,-5.44,21
8,Exit short,2025-08-17 12:30,Short Exit,3.8132,11.58,42.262368,-1.94,-4.58,0.04,0.37,0.87,-1.92,-4.53,-7.38,-7.38,73
8,Entry short,2025-08-16 00:00,Short,3.6496,11.58,42.262368,-1.94,-4.58,0.04,0.37,0.87,-1.92,-4.53,-7.38,-7.38,73
9,Exit long,2025-08-18 07:30,Long Exit,3.763,23.71,91.072481,-1.94,-2.13,0.09,1.19,1.30,-1.9,-2.08,-9.32,-9.32,23
9,Entry long,2025-08-17 20:00,Long,3.8411,23.71,91.072481,-1.94,-2.13,0.09,1.19,1.30,-1.9,-2.08,-9.32,-9.32,23
10,Exit short,2025-08-22 11:00,Close entry(s) order Short,3.439,11.04,40.245216,2.24,5.56,0.04,2.94,7.31,-0.34,-0.85,-7.08,-7.08,193
10,Entry short,2025-08-18 10:30,Short,3.6454,11.04,40.245216,2.24,5.56,0.04,2.94,7.31,-0.34,-0.85,-7.08,-7.08,193
11,Exit short,2025-08-22 22:00,Short Exit,3.4337,18.4,61.32168,-1.92,-3.13,0.06,0.54,0.87,-1.89,-3.08,-9,-9.00,3
11,Entry short,2025-08-22 20:30,Short,3.3327,18.4,61.32168,-1.92,-3.13,0.06,0.54,0.87,-1.89,-3.08,-9,-9.00,3
12,Exit long,2025-08-25 14:30,Long Exit,3.5384,9.2,34.37304,-1.85,-5.39,0.03,1.03,2.99,-1.84,-5.34,-10.85,-10.85,122
12,Entry long,2025-08-23 01:30,Long,3.7362,9.2,34.37304,-1.85,-5.39,0.03,1.03,2.99,-1.84,-5.34,-10.85,-10.85,122
13,Exit short,2025-09-02 16:30,Close entry(s) order Short,3.2724,12.98,43.536218,1.02,2.34,0.04,3.2,7.35,-0.64,-1.47,-9.83,-9.83,193
13,Entry short,2025-08-29 16:00,Short,3.3541,12.98,43.536218,1.02,2.34,0.04,3.2,7.35,-0.64,-1.47,-9.83,-9.83,193
14,Exit long,2025-09-04 13:00,Long Exit,3.3075,22.16,73.2942,-0.07,-0.10,0.07,2.14,2.91,-0.98,-1.33,-9.91,-9.91,61
14,Entry long,2025-09-03 06:30,Long,3.3075,22.16,73.2942,-0.07,-0.10,0.07,2.14,2.91,-0.98,-1.33,-9.91,-9.91,61
15,Exit long,2025-09-09 16:00,Close entry(s) order Long,3.6078,23.3,78.90312,5.08,6.43,0.08,5.22,6.61,-1.81,-2.29,-4.83,-4.83,193
15,Entry long,2025-09-05 15:30,Long,3.3864,23.3,78.90312,5.08,6.43,0.08,5.22,6.61,-1.81,-2.29,-4.83,-4.83,193
16,Exit long,2025-09-11 20:30,Long Exit,3.5535,22.4,81.50464,-1.99,-2.44,0.08,0.59,0.72,-1.95,-2.39,-6.82,-6.82,24
16,Entry long,2025-09-11 08:30,Long,3.6386,22.4,81.50464,-1.99,-2.44,0.08,0.59,0.72,-1.95,-2.39,-6.82,-6.82,24
17,Exit long,2025-09-12 20:00,Long Exit,3.5994,26.68,97.896924,-1.96,-2.00,0.1,0.77,0.78,-1.91,-1.95,-8.78,-8.78,23
17,Entry long,2025-09-12 08:30,Long,3.6693,26.68,97.896924,-1.96,-2.00,0.1,0.77,0.78,-1.91,-1.95,-8.78,-8.78,23
18,Exit long,2025-09-14 20:30,Long Exit,3.7154,27.44,101.297504,0.55,0.54,0.1,5.16,5.09,-0.67,-0.66,-8.23,-8.23,82
18,Entry long,2025-09-13 03:30,Long,3.6916,27.44,101.297504,0.55,0.54,0.1,5.16,5.09,-0.67,-0.66,-8.23,-8.23,82
19,Exit short,2025-09-16 21:30,Short Exit,3.6397,16.58,58.507504,-1.9,-3.24,0.06,1.16,1.99,-1.87,-3.19,-10.13,-10.13,54
19,Entry short,2025-09-15 18:30,Short,3.5288,16.58,58.507504,-1.9,-3.24,0.06,1.16,1.99,-1.87,-3.19,-10.13,-10.13,54
20,Exit long,2025-09-19 18:00,Long Exit,3.7548,10.1,37.92348,-0.04,-0.10,0.04,2.19,5.78,-0.08,-0.22,-10.16,-10.16,71
20,Entry long,2025-09-18 06:30,Long,3.7548,10.1,37.92348,-0.04,-0.10,0.04,2.19,5.78,-0.08,-0.22,-10.16,-10.16,71
21,Exit short,2025-09-26 10:30,Close entry(s) order Short,3.1547,17.19,60.574122,6.29,10.37,0.06,7.88,12.99,-0.28,-0.47,-3.88,-3.88,193
21,Entry short,2025-09-22 10:00,Short,3.5238,17.19,60.574122,6.29,10.37,0.06,7.88,12.99,-0.28,-0.47,-3.88,-3.88,193
22,Exit long,2025-09-29 18:30,Long Exit,3.2346,23.38,75.624948,-0.08,-0.10,0.08,2.09,2.76,-0.39,-0.51,-3.95,-3.95,28
22,Entry long,2025-09-29 04:30,Long,3.2346,23.38,75.624948,-0.08,-0.10,0.08,2.09,2.76,-0.39,-0.51,-3.95,-3.95,28
23,Exit long,2025-10-05 19:00,Close entry(s) order Long,3.596,20.49,69.520521,4.09,5.88,0.07,6.05,8.70,-0.27,-0.39,0.14,0.14,193
23,Entry long,2025-10-01 18:30,Long,3.3929,20.49,69.520521,4.09,5.88,0.07,6.05,8.70,-0.27,-0.39,0.14,0.14,193
24,Exit long,2025-10-07 16:00,Long Exit,3.5674,19.17,70.390323,-2.07,-2.94,0.07,0.68,0.97,-2.04,-2.89,-1.93,-1.93,32
24,Entry long,2025-10-07 00:00,Long,3.6719,19.17,70.390323,-2.07,-2.94,0.07,0.68,0.97,-2.04,-2.89,-1.93,-1.93,32
25,Exit short,2025-10-11 05:30,Short Exit,1.9201,15.34,54.022878,24.53,45.38,0.04,45.43,84.05,-0.69,-1.27,22.59,22.59,157
