trade_number,direction,entry_time_utc,exit_time_utc,entry_price_usdt,exit_price_usdt,size_qty,size_value_usdt,net_pnl_usdt,return_pct,favorable_excursion_usdt,favorable_excursion_pct,adverse_excursion_usdt,adverse_excursion_pct,cumulative_pnl_usdt,cumulative_pnl_pct,duration_bars,entry_signal,exit_signal
1,long,2025-08-01T03:00:00Z,2025-08-01T13:30:00Z,3.6138,3.4311,10.93,39.498834,-2.04,-5.15,0.2,0.51,-2.02,-5.10,-2.04,-2.04,21,Long,Long Exit
2,long,2025-08-02T17:30:00Z,2025-08-04T02:00:00Z,3.3814,3.4583,15.5,52.4117,1.14,2.17,2.1,4.00,-1.84,-3.51,-0.9,-0.90,65,Long,Long Exit
3,long,2025-08-05T23:30:00Z,2025-08-07T14:00:00Z,3.4127,3.7186,16.05,54.773835,4.85,8.85,5.93,10.81,-1.44,-2.63,3.96,3.96,77,Long,Long Exit
4,short,2025-08-07T17:30:00Z,2025-08-08T06:30:00Z,3.6569,3.8123,13.39,48.965891,-2.13,-4.35,0.01,0.03,-2.11,-4.30,1.83,1.83,26,Short,Short Exit
5,short,2025-08-08T08:30:00Z,2025-08-08T17:00:00Z,3.8429,3.7897,20.66,79.394314,1.02,1.28,2.62,3.30,-0.8,-1.01,2.85,2.85,17,Short,Short Exit
6,short,2025-08-09T01:00:00Z,2025-08-09T02:30:00Z,3.8296,3.9078,26.31,100.756776,-2.16,-2.14,0.04,0.04,-2.11,-2.09,0.69,0.69,3,Short,Short Exit
7,short,2025-08-09T04:00:00Z,2025-08-10T04:00:00Z,3.877,3.9831,18.97,73.54669,-2.09,-2.84,0.14,0.19,-2.05,-2.79,-1.4,-1.40,48,Short,Short Exit
8,long,2025-08-12T00:30:00Z,2025-08-13T01:00:00Z,3.6779,3.8659,18.63,68.519277,3.43,5.01,4.73,6.89,-1.54,-2.24,2.03,2.03,49,Long,Long Exit
9,short,2025-08-13T14:30:00Z,2025-08-14T03:30:00Z,3.9717,4.145,11.78,46.786626,-2.09,-4.46,0.74,1.59,-2.06,-4.41,-0.06,-0.06,26,Short,Short Exit
10,short,2025-08-14T05:30:00Z,2025-08-14T13:00:00Z,4.0834,3.7755,11.82,48.265788,3.59,7.44,4.85,10.05,-0.02,-0.05,3.53,3.53,15,Short,Short Exit
11,long,2025-08-14T23:30:00Z,2025-08-18T05:30:00Z,3.7526,3.5763,11.73,44.017998,-2.11,-4.79,1.63,3.69,-2.09,-4.75,1.42,1.42,156,Long,Long Exit
12,long,2025-08-18T13:30:00Z,2025-08-19T16:00:00Z,3.5889,3.4804,18.71,67.148319,-2.1,-3.12,1.57,2.33,-2.06,-3.07,-0.67,-0.67,53,Long,Long Exit
13,long,2025-08-20T01:30:00Z,2025-08-20T18:30:00Z,3.4489,3.5001,23.18,79.945502,1.11,1.38,2.88,3.60,-1.7,-2.13,0.43,0.43,34,Long,Long Exit
14,long,2025-08-21T13:30:00Z,2025-08-22T11:00:00Z,3.4448,3.3562,22.6,77.85248,-2.08,-2.67,0.71,0.92,-2.04,-2.62,-1.65,-1.65,43,Long,Long Exit
15,long,2025-08-22T14:00:00Z,2025-08-23T01:00:00Z,3.3625,3.7069,18.24,61.332,6.22,10.13,7.54,12.28,-0.04,-0.07,4.57,4.57,22,Long,Long Exit
16,short,2025-08-23T02:00:00Z,2025-08-24T19:00:00Z,3.6967,3.8169,17.42,64.396514,-2.16,-3.35,1.62,2.52,-2.13,-3.30,2.41,2.41,82,Short,Short Exit
17,long,2025-08-26T01:30:00Z,2025-08-27T00:30:00Z,3.3653,3.4306,21.25,71.512625,1.32,1.84,2.61,3.65,-0.49,-0.68,3.73,3.73,46,Long,Long Exit
18,long,2025-08-29T13:00:00Z,2025-08-29T18:00:00Z,3.3643,3.2448,17.42,58.606106,-2.14,-3.65,0.02,0.04,-2.11,-3.60,1.59,1.59,10,Long,Long Exit
19,long,2025-08-29T22:30:00Z,2025-09-01T02:30:00Z,3.2679,3.1698,20.7,67.64553,-2.1,-3.10,1.67,2.47,-2.06,-3.05,-0.51,-0.51,104,Long,Long Exit
20,long,2025-09-01T07:00:00Z,2025-09-01T10:30:00Z,3.1891,3.2876,25.93,82.693363,2.47,2.99,3.81,4.60,-0.47,-0.56,1.96,1.96,7,Long,Long Exit
21,long,2025-09-01T23:30:00Z,2025-09-02T11:30:00Z,3.1712,3.2542,18.86,59.808832,1.5,2.51,2.43,4.06,-0.22,-0.37,3.47,3.47,24,Long,Long Exit
22,short,2025-09-03T04:30:00Z,2025-09-03T12:30:00Z,3.3117,3.3789,30.69,101.636073,-2.17,-2.13,1.38,1.36,-2.11,-2.08,1.3,1.30,16,Short,Short Exit
23,short,2025-09-03T19:30:00Z,2025-09-04T08:00:00Z,3.3778,3.3256,50.36,170.106008,2.46,1.45,4.46,2.62,-1.49,-0.87,3.76,3.76,25,Short,Short Exit
24,short,2025-09-05T09:30:00Z,2025-09-05T12:30:00Z,3.3639,3.424,34.53,116.155467,-2.19,-1.89,0.08,0.07,-2.13,-1.84,1.57,1.57,6,Short,Short Exit
25,short,2025-09-05T14:30:00Z,2025-09-08T13:00:00Z,3.3548,3.4945,14.55,48.81234,-2.08,-4.26,0.62,1.27,-2.06,-4.21,-0.51,-0.51,141,Short,Short Exit
26,short,2025-09-08T18:00:00Z,2025-09-09T06:00:00Z,3.456,3.5415,23.24,80.31744,-2.07,-2.57,0.74,0.92,-2.03,-2.52,-2.58,-2.58,24,Short,Short Exit
27,short,2025-09-09T13:00:00Z,2025-09-09T21:00:00Z,3.5511,3.4769,21.72,77.129892,1.54,1.99,2.67,3.46,-0.33,-0.43,-1.05,-1.05,16,Short,Short Exit
28,short,2025-09-11T02:00:00Z,2025-09-11T13:30:00Z,3.6118,3.5996,33.85,122.25943,0.29,0.24,2.02,1.65,-1.92,-1.57,-0.76,-0.76,23,Short,Short Exit
