Trade number,Type,Date and time,Signal,Price USDT,Size (qty),Size (value),Net PnL USDT,Return %,Commission USDT,Favorable excursion USDT,Favorable excursion %,Adverse excursion USDT,Adverse excursion %,Cumulative PnL USDT,Cumulative PnL %,Duration (bars)
1,Exit long,2025-08-01 21:30,Long Exit,3.4311,10.93,39.498834,-2.04,-5.15,0.04,0.2,0.51,-2.02,-5.10,-2.04,-2.04,21
1,Entry long,2025-08-01 11:00,Long,3.6138,10.93,39.498834,-2.04,-5.15,0.04,0.2,0.51,-2.02,-5.10,-2.04,-2.04,21
2,Exit long,2025-08-04 10:00,Long Exit,3.4583,15.5,52.4117,1.14,2.17,0.05,2.1,4.00,-1.84,-3.51,-0.9,-0.90,65
2,Entry long,2025-08-03 01:30,Long,3.3814,15.5,52.4117,1.14,2.17,0.05,2.1,4.00,-1.84,-3.51,-0.9,-0.90,65
3,Exit long,2025-08-07 22:00,Long Exit,3.7186,16.05,54.773835,4.85,8.85,0.06,5.93,10.81,-1.44,-2.63,3.96,3.96,77
3,Entry long,2025-08-06 07:30,Long,3.4127,16.05,54.773835,4.85,8.85,0.06,5.93,10.81,-1.44,-2.63,3.96,3.96,77
4,Exit short,2025-08-08 14:30,Short Exit,3.8123,13.39,48.965891,-2.13,-4.35,0.05,0.01,0.03,-2.11,-4.30,1.83,1.83,26
4,Entry short,2025-08-08 01:30,Short,3.6569,13.39,48.965891,-2.13,-4.35,0.05,0.01,0.03,-2.11,-4.30,1.83,1.83,26
5,Exit short,2025-08-09 01:00,Short Exit,3.7897,20.66,79.394314,1.02,1.28,0.08,2.62,3.30,-0.8,-1.01,2.85,2.85,17
5,Entry short,2025-08-08 16:30,Short,3.8429,20.66,79.394314,1.02,1.28,0.08,2.62,3.30,-0.8,-1.01,2.85,2.85,17
6,Exit short,2025-08-09 10:30,Short Exit,3.9078,26.31,100.756776,-2.16,-2.14,0.1,0.04,0.04,-2.11,-2.09,0.69,0.69,3
6,Entry short,2025-08-09 09:00,Short,3.8296,26.31,100.756776,-2.16,-2.14,0.1,0.04,0.04,-2.11,-2.09,0.69,0.69,3
