trade_number,direction,entry_time_utc,exit_time_utc,entry_price_usdt,exit_price_usdt,size_qty,size_value_usdt,net_pnl_usdt,return_pct,favorable_excursion_usdt,favorable_excursion_pct,adverse_excursion_usdt,adverse_excursion_pct,cumulative_pnl_usdt,cumulative_pnl_pct,duration_bars,entry_signal,exit_signal
1,short,2025-08-01T08:00:00Z,2025-08-01T23:30:00Z,3.5248,3.4547,14.24,50.193152,0.95,1.89,2.48,4.93,-1.02,-2.03,0.95,0.95,31,Short,Short Exit
2,short,2025-08-02T15:00:00Z,2025-08-04T14:00:00Z,3.3768,3.5403,12.36,41.737248,-2.06,-4.94,1.37,3.28,-2.04,-4.89,-1.12,-1.12,94,Short,Short Exit
3,short,2025-08-05T19:30:00Z,2025-08-06T18:00:00Z,3.3857,3.5152,15.26,51.665782,-2.03,-3.92,0.91,1.75,-2,-3.87,-3.14,-3.14,45,Short,Short Exit
4,long,2025-08-07T10:30:00Z,2025-08-07T14:00:00Z,3.586,3.7186,12.31,44.14366,1.59,3.59,2.41,5.46,-0.03,-0.08,-1.56,-1.56,7,Long,Long Exit
5,long,2025-08-08T00:00:00Z,2025-08-09T04:00:00Z,3.7879,3.8704,13.65,51.704835,1.07,2.08,2,3.87,-1.03,-1.99,-0.48,-0.48,56,Long,Long Exit
6,short,2025-08-11T11:30:00Z,2025-08-13T08:00:00Z,3.7374,3.948,9.45,35.31843,-2.03,-5.73,1.31,3.70,-2.01,-5.68,-2.51,-2.51,89,Short,Short Exit
7,long,2025-08-13T10:00:00Z,2025-08-14T05:00:00Z,3.9946,4.0986,10.71,42.782166,1.07,2.50,2,4.68,-0.96,-2.25,-1.44,-1.44,38,Long,Long Exit
8,short,2025-08-14T21:30:00Z,2025-08-18T22:00:00Z,3.6749,3.6392,8.79,32.302371,0.28,0.87,1.36,4.22,-1.93,-5.98,-1.16,-1.16,193,Short,Close entry(s) order Short
9,short,2025-08-19T04:30:00Z,2025-08-22T13:30:00Z,3.5004,3.3587,11.03,38.609412,1.53,3.95,2.17,5.62,-1.94,-5.02,0.37,0.37,162,Short,Short Exit
10,long,2025-08-22T17:30:00Z,2025-08-25T07:30:00Z,3.7362,3.489,8.12,30.337944,-2.04,-6.71,0.91,2.99,-2.02,-6.66,-1.67,-1.67,124,Long,Long Exit
11,short,2025-08-29T08:00:00Z,2025-09-01T05:30:00Z,3.3541,3.1873,12.44,41.725004,2.03,4.87,2.6,6.22,-0.61,-1.47,0.37,0.37,139,Short,Short Exit
12,short,2025-09-01T21:30:00Z,2025-09-02T03:00:00Z,3.1411,3.2927,13.24,41.588164,-2.05,-4.93,0.45,1.07,-2.03,-4.87,-1.68,-1.68,11,Short,Short Exit
13,long,2025-09-02T22:30:00Z,2025-09-04T01:00:00Z,3.3075,3.3643,20.57,68.035275,1.1,1.62,1.98,2.91,-0.91,-1.33,-0.58,-0.58,53,Long,Long Exit
14,long,2025-09-05T07:30:00Z,2025-09-08T11:00:00Z,3.3864,3.4497,20.49,69.387336,1.23,1.77,2.02,2.90,-1.59,-2.29,0.64,0.64,151,Long,Long Exit
15,long,2025-09-09T08:30:00Z,2025-09-09T14:30:00Z,3.5967,3.4632,15.06,54.166302,-2.06,-3.81,0.2,0.37,-2.04,-3.76,-1.42,-1.42,12,Long,Long Exit
16,long,2025-09-11T00:30:00Z,2025-09-13T01:30:00Z,3.6386,3.7148,21.29,77.465794,1.54,1.99,2.52,3.25,-1.92,-2.48,0.12,0.12,98,Long,Long Exit
17,long,2025-09-13T10:00:00Z,2025-09-14T13:30:00Z,3.8155,3.6711,13.85,52.844675,-2.05,-3.88,0.89,1.68,-2.03,-3.83,-1.93,-1.93,55,Long,Long Exit
18,short,2025-09-15T10:30:00Z,2025-09-16T13:30:00Z,3.5288,3.6397,17.72,62.530336,-2.03,-3.24,1.24,1.99,-2,-3.19,-3.96,-3.96,54,Short,Short Exit
19,long,2025-09-17T22:30:00Z,2025-09-21T23:00:00Z,3.7548,3.6366,8.27,31.052196,-1.01,-3.24,1.8,5.78,-1.41,-4.52,-4.97,-4.97,193,Long,Close entry(s) order Long
20,short,2025-09-22T02:00:00Z,2025-09-25T05:00:00Z,3.5238,3.2764,10.8,38.05704,2.64,6.92,3.3,8.67,-0.18,-0.47,-2.33,-2.33,150,Short,Short Exit
21,short,2025-09-25T06:30:00Z,2025-09-25T12:30:00Z,3.2504,3.1804,15.34,49.861136,1.02,2.05,2.08,4.17,-0.28,-0.56,-1.31,-1.31,12,Short,Short Exit
22,long,2025-09-28T20:30:00Z,2025-09-29T15:30:00Z,3.2346,3.2771,21.66,70.061436,0.85,1.21,1.97,2.81,-0.71,-1.01,-0.46,-0.46,38,Long,Long Exit
23,long,2025-10-01T10:30:00Z,2025-10-02T10:00:00Z,3.3929,3.5446,10.81,36.677249,1.6,4.37,2.14,5.83,-0.14,-0.39,1.15,1.15,47,Long,Long Exit
