Trade number,Type,Date and time,Signal,Price USDT,Size (qty),Size (value),Net PnL USDT,Return %,Commission USDT,Favorable excursion USDT,Favorable excursion %,Adverse excursion USDT,Adverse excursion %,Cumulative PnL USDT,Cumulative PnL %,Duration (bars)
1,Exit short,2025-08-02 07:30,Short Exit,3.4547,14.24,50.193152,0.95,1.89,0.05,2.48,4.93,-1.02,-2.03,0.95,0.95,31
1,Entry short,2025-08-01 16:00,Short,3.5248,14.24,50.193152,0.95,1.89,0.05,2.48,4.93,-1.02,-2.03,0.95,0.95,31
2,Exit short,2025-08-04 22:00,Short Exit,3.5403,12.36,41.737248,-2.06,-4.94,0.04,1.37,3.28,-2.04,-4.89,-1.12,-1.12,94
2,Entry short,2025-08-02 23:00,Short,3.3768,12.36,41.737248,-2.06,-4.94,0.04,1.37,3.28,-2.04,-4.89,-1.12,-1.12,94
3,Exit short,2025-08-07 02:00,Short Exit,3.5152,15.26,51.665782,-2.03,-3.92,0.05,0.91,1.75,-2,-3.87,-3.14,-3.14,45
3,Entry short,2025-08-06 03:30,Short,3.3857,15.26,51.665782,-2.03,-3.92,0.05,0.91,1.75,-2,-3.87,-3.14,-3.14,45
4,Exit long,2025-08-07 22:00,Long Exit,3.7186,12.31,44.14366,1.59,3.59,0.04,2.41,5.46,-0.03,-0.08,-1.56,-1.56,7
4,Entry long,2025-08-07 18:30,Long,3.586,12.31,44.14366,1.59,3.59,0.04,2.41,5.46,-0.03,-0.08,-1.56,-1.56,7
5,Exit long,2025-08-09 12:00,Long Exit,3.8704,13.65,51.704835,1.07,2.08,0.05,2,3.87,-1.03,-1.99,-0.48,-0.48,56
5,Entry long,2025-08-08 08:00,Long,3.7879,13.65,51.704835,1.07,2.08,0.05,2,3.87,-1.03,-1.99,-0.48,-0.48,56
6,Exit short,2025-08-13 16:00,Short Exit,3.948,9.45,35.31843,-2.03,-5.73,0.04,1.31,3.70,-2.01,-5.68,-2.51,-2.51,89
6,Entry short,2025-08-11 19:30,Short,3.7374,9.45,35.31843,-2.03,-5.73,0.04,1.31,3.70,-2.01,-5.68,-2.51,-2.51,89
7,Exit long,2025-08-14 13:00,Long Exit,4.0986,10.71,42.782166,1.07,2.50,0.04,2,4.68,-0.96,-2.25,-1.44,-1.44,38
7,Entry long,2025-08-13 18:00,Long,3.9946,10.71,42.782166,1.07,2.50,0.04,2,4.68,-0.96,-2.25,-1.44,-1.44,38
8,Exit short,2025-08-19 06:00,Close entry(s) order Short,3.6392,8.79,32.302371,0.28,0.87,0.03,1.36,4.22,-1.93,-5.98,-1.16,-1.16,193
8,Entry short,2025-08-15 05:30,Short,3.6749,8.79,32.302371,0.28,0.87,0.03,1.36,4.22,-1.93,-5.98,-1.16,-1.16,193
9,Exit short,2025-08-22 21:30,Short Exit,3.3587,11.03,38.609412,1.53,3.95,0.04,2.17,5.62,-1.94,-5.02,0.37,0.37,162
9,Entry short,2025-08-19 12:30,Short,3.5004,11.03,38.609412,1.53,3.95,0.04,2.17,5.62,-1.94,-5.02,0.37,0.37,162
10,Exit long,2025-08-25 15:30,Long Exit,3.489,8.12,30.337944,-2.04,-6.71,0.03,0.91,2.99,-2.02,-6.66,-1.67,-1.67,124
10,Entry long,2025-08-23 01:30,Long,3.7362,8.12,30.337944,-2.04,-6.71,0.03,0.91,2.99,-2.02,-6.66,-1.67,-1.67,124
11,Exit short,2025-09-01 13:30,Short Exit,3.1873,12.44,41.725004,2.03,4.87,0.04,2.6,6.22,-0.61,-1.47,0.37,0.37,139
11,Entry short,2025-08-29 16:00,Short,3.3541,12.44,41.725004,2.03,4.87,0.04,2.6,6.22,-0.61,-1.47,0.37,0.37,139
12,Exit short,2025-09-02 11:00,Short Exit,3.2927,13.24,41.588164,-2.05,-4.93,0.04,0.45,1.07,-2.03,-4.87,-1.68,-1.68,11
12,Entry short,2025-09-02 05:30,Short,3.1411,13.24,41.588164,-2.05,-4.93,0.04,0.45,1.07,-2.03,-4.87,-1.68,-1.68,11
13,Exit long,2025-09-04 09:00,Long Exit,3.3643,20.57,68.035275,1.1,1.62,0.07,1.98,2.91,-0.91,-1.33,-0.58,-0.58,53
13,Entry long,2025-09-03 06:30,Long,3.3075,20.57,68.035275,1.1,1.62,0.07,1.98,2.91,-0.91,-1.33,-0.58,-0.58,53
14,Exit long,2025-09-08 19:00,Long Exit,3.4497,20.49,69.387336,1.23,1.77,0.07,2.02,2.90,-1.59,-2.29,0.64,0.64,151
14,Entry long,2025-09-05 15:30,Long,3.3864,20.49,69.387336,1.23,1.77,0.07,2.02,2.90,-1.59,-2.29,0.64,0.64,151
15,Exit long,2025-09-09 22:30,Long Exit,3.4632,15.06,54.166302,-2.06,-3.81,0.05,0.2,0.37,-2.04,-3.76,-1.42,-1.42,12
15,Entry long,2025-09-09 16:30,Long,3.5967,15.06,54.166302,-2.06,-3.81,0.05,0.2,0.37,-2.04,-3.76,-1.42,-1.42,12
16,Exit long,2025-09-13 09:30,Long Exit,3.7148,21.29,77.465794,1.54,1.99,0.08,2.52,3.25,-1.92,-2.48,0.12,0.12,98
16,Entry long,2025-09-11 08:30,Long,3.6386,21.29,77.465794,1.54,1.99,0.08,2.52,3.25,-1.92,-2.48,0.12,0.12,98
17,Exit long,2025-09-14 21:30,Long Exit,3.6711,13.85,52.844675,-2.05,-3.88,0.05,0.89,1.68,-2.03,-3.83,-1.93,-1.93,55
17,Entry long,2025-09-13 18:00,Long,3.8155,13.85,52.844675,-2.05,-3.88,0.05,0.89,1.68,-2.03,-3.83,-1.93,-1.93,55
18,Exit short,2025-09-16 21:30,Short Exit,3.6397,17.72,62.530336,-2.03,-3.24,0.06,1.24,1.99,-2,-3.19,-3.96,-3.96,54
18,Entry short,2025-09-15 18:30,Short,3.5288,17.72,62.530336,-2.03,-3.24,0.06,1.24,1.99,-2,-3.19,-3.96,-3.96,54
19,Exit long,2025-09-22 07:00,Close entry(s) order Long,3.6366,8.27,31.052196,-1.01,-3.24,0.03,1.8,5.78,-1.41,-4.52,-4.97,-4.97,193
19,Entry long,2025-09-18 06:30,Long,3.7548,8.27,31.052196,-1.01,-3.24,0.03,1.8,5.78,-1.41,-4.52,-4.97,-4.97,193
20,Exit short,2025-09-25 13:00,Short Exit,3.2764,10.8,38.05704,2.64,6.92,0.04,3.3,8.67,-0.18,-0.47,-2.33,-2.33,150
20,Entry short,2025-09-22 10:00,Short,3.5238,10.8,38.05704,2.64,6.92,0.04,3.3,8.67,-0.18,-0.47,-2.33,-2.33,150
21,Exit short,2025-09-25 20:30,Short Exit,3.1804,15.34,49.861136,1.02,2.05,0.05,2.08,4.17,-0.28,-0.56,-1.31,-1.31,12
21,Entry short,2025-09-25 14:30,Short,3.2504,15.34,49.861136,1.02,2.05,0.05,2.08,4.17,-0.28,-0.56,-1.31,-1.31,12
22,Exit long,2025-09-29 23:30,Long Exit,3.2771,21.66,70.061436,0.85,1.21,0.07,1.97,2.81,-0.71,-1.01,-0.46,-0.46,38
22,Entry long,2025-09-29 04:30,Long,3.2346,21.66,70.061436,0.85,1.21,0.07,1.97,2.81,-0.71,-1.01,-0.46,-0.46,38
23,Exit long,2025-10-02 18:00,Long Exit,3.5446,10.81,36.677249,1.6,4.37,0.04,2.14,5.83,-0.14,-0.39,1.15,1.15,47
23,Entry long,2025-10-01 18:30,Long,3.3929,10.81,36.677249,1.6,4.37,0.04,2.14,5.83,-0.14,-0.39,1.15,1.15,47
24,Exit short,2025-10-05 06:00,Short Exit,3.5968,22.15,77.64904,-2.1,-2.70,0.08,0.29,0.38,-2.06,-2.65,-0.95,-0.95,24
24,Entry short,2025-10-04 18:00,Short,3.5056,22.15,77.64904,-2.1,-2.70,0.08,0.29,0.38,-2.06,-2.65,-0.95,-0.95,24
