trade_number,direction,entry_time_utc,exit_time_utc,entry_price_usdt,exit_price_usdt,size_qty,size_value_usdt,net_pnl_usdt,return_pct,favorable_excursion_usdt,favorable_excursion_pct,adverse_excursion_usdt,adverse_excursion_pct,cumulative_pnl_usdt,cumulative_pnl_pct,duration_bars,entry_signal,exit_signal
1,long,2025-08-01T03:00:00Z,2025-08-01T13:30:00Z,3.6138,3.4311,10.93,39.498834,-2.04,-5.15,0.2,0.51,-2.02,-5.10,-2.04,-2.04,21,Long,Long Exit
2,long,2025-08-02T17:30:00Z,2025-08-05T07:30:00Z,3.3814,3.4342,15.5,52.4117,0.77,1.46,3.89,7.41,-1.84,-3.51,-1.27,-1.27,124,Long,Long Exit
3,long,2025-08-05T23:30:00Z,2025-08-10T00:00:00Z,3.4127,3.8959,15.99,54.569073,7.67,14.04,9.04,16.55,-1.43,-2.63,6.4,6.40,193,Long,Close entry(s) order Long
4,long,2025-08-12T00:30:00Z,2025-08-14T12:30:00Z,3.6779,3.8139,20.11,73.962569,2.66,3.59,10.14,13.70,-1.66,-2.24,9.06,9.06,120,Long,Long Exit
5,long,2025-08-14T23:30:00Z,2025-08-18T05:30:00Z,3.7526,3.5763,12.36,46.382136,-2.22,-4.79,1.71,3.69,-2.2,-4.75,6.83,6.83,156,Long,Long Exit
6,long,2025-08-18T13:30:00Z,2025-08-19T16:00:00Z,3.5889,3.4804,19.71,70.737219,-2.21,-3.12,1.65,2.33,-2.17,-3.07,4.63,4.63,53,Long,Long Exit
7,long,2025-08-20T01:30:00Z,2025-08-21T09:00:00Z,3.4489,3.4704,24.42,84.222138,0.44,0.52,3.34,3.96,-1.8,-2.13,5.07,5.07,63,Long,Long Exit
8,long,2025-08-21T13:30:00Z,2025-08-22T11:00:00Z,3.4448,3.3562,23.64,81.435072,-2.17,-2.67,0.75,0.92,-2.14,-2.62,2.89,2.89,43,Long,Long Exit
9,long,2025-08-22T14:00:00Z,2025-08-25T06:00:00Z,3.3625,3.57,19.08,64.1565,3.89,6.06,9.27,14.44,-0.04,-0.07,6.78,6.78,128,Long,Long Exit
10,long,2025-08-26T01:30:00Z,2025-08-28T17:00:00Z,3.3653,3.4194,22.15,74.541395,1.12,1.51,3.58,4.80,-0.51,-0.68,7.91,7.91,127,Long,Long Exit
11,long,2025-08-29T13:00:00Z,2025-08-29T18:00:00Z,3.3643,3.2448,18.12,60.961116,-2.23,-3.65,0.02,0.04,-2.2,-3.60,5.68,5.68,10,Long,Long Exit
12,long,2025-08-29T22:30:00Z,2025-09-01T02:30:00Z,3.2679,3.1698,21.53,70.357887,-2.18,-3.10,1.74,2.47,-2.15,-3.05,3.5,3.50,104,Long,Long Exit
13,long,2025-09-01T07:00:00Z,2025-09-01T16:30:00Z,3.1891,3.201,26.97,86.010027,0.23,0.27,3.96,4.60,-0.49,-0.56,3.74,3.74,19,Long,Long Exit
14,long,2025-09-01T23:30:00Z,2025-09-04T15:00:00Z,3.1712,3.2592,19.19,60.855328,1.63,2.67,4.47,7.34,-0.22,-0.37,5.36,5.36,127,Long,Long Exit
15,short,2025-09-05T09:30:00Z,2025-09-05T12:30:00Z,3.3639,3.424,35.06,117.938334,-2.23,-1.89,0.08,0.07,-2.17,-1.84,3.14,3.14,6,Short,Short Exit
16,short,2025-09-05T14:30:00Z,2025-09-08T13:00:00Z,3.3548,3.4945,14.78,49.583944,-2.12,-4.26,0.63,1.27,-2.09,-4.21,1.02,1.02,141,Short,Short Exit
17,short,2025-09-08T18:00:00Z,2025-09-09T06:00:00Z,3.456,3.5415,23.6,81.5616,-2.1,-2.57,0.75,0.92,-2.06,-2.52,-1.08,-1.08,24,Short,Short Exit
18,short,2025-09-09T13:00:00Z,2025-09-10T02:00:00Z,3.5511,3.5382,22.06,78.337266,0.21,0.26,2.71,3.46,-0.34,-0.43,-0.87,-0.87,26,Short,Short Exit
19,short,2025-09-11T02:00:00Z,2025-09-11T13:30:00Z,3.6118,3.6118,33.91,122.476138,-0.12,-0.10,2.02,1.65,-1.92,-1.57,-1,-1.00,23,Short,Short Exit
20,short,2025-09-12T02:00:00Z,2025-09-12T17:00:00Z,3.6587,3.6554,27.53,100.724011,-0.01,-0.01,2.04,2.02,-0.86,-0.85,-1.01,-1.01,30,Short,Short Exit
