Trade number,Type,Date and time,Signal,Price USDT,Size (qty),Size (value),Net PnL USDT,Return %,Commission USDT,Favorable excursion USDT,Favorable excursion %,Adverse excursion USDT,Adverse excursion %,Cumulative PnL USDT,Cumulative PnL %,Duration (bars)
1,Exit long,2025-08-01 21:30,Long Exit,3.4311,10.93,39.498834,-2.04,-5.15,0.04,0.2,0.51,-2.02,-5.10,-2.04,-2.04,21
1,Entry long,2025-08-01 11:00,Long,3.6138,10.93,39.498834,-2.04,-5.15,0.04,0.2,0.51,-2.02,-5.10,-2.04,-2.04,21
2,Exit long,2025-08-05 15:30,Long Exit,3.4342,15.5,52.4117,0.77,1.46,0.05,3.89,7.41,-1.84,-3.51,-1.27,-1.27,124
2,Entry long,2025-08-03 01:30,Long,3.3814,15.5,52.4117,0.77,1.46,0.05,3.89,7.41,-1.84,-3.51,-1.27,-1.27,124
3,Exit long,2025-08-10 08:00,Close entry(s) order Long,3.8959,15.99,54.569073,7.67,14.04,0.06,9.04,16.55,-1.43,-2.63,6.4,6.40,193
3,Entry long,2025-08-06 07:30,Long,3.4127,15.99,54.569073,7.67,14.04,0.06,9.04,16.55,-1.43,-2.63,6.4,6.40,193
4,Exit long,2025-08-14 20:30,Long Exit,3.8139,20.11,73.962569,2.66,3.59,0.08,10.14,13.70,-1.66,-2.24,9.06,9.06,120
4,Entry long,2025-08-12 08:30,Long,3.6779,20.11,73.962569,2.66,3.59,0.08,10.14,13.70,-1.66,-2.24,9.06,9.06,120
5,Exit long,2025-08-18 13:30,Long Exit,3.5763,12.36,46.382136,-2.22,-4.79,0.05,1.71,3.69,-2.2,-4.75,6.83,6.83,156
5,Entry long,2025-08-15 07:30,Long,3.7526,12.36,46.382136,-2.22,-4.79,0.05,1.71,3.69,-2.2,-4.75,6.83,6.83,156
6,Exit long,2025-08-20 00:00,Long Exit,3.4804,19.71,70.737219,-2.21,-3.12,0.07,1.65,2.33,-2.17,-3.07,4.63,4.63,53
6,Entry long,2025-08-18 21:30,Long,3.5889,19.71,70.737219,-2.21,-3.12,0.07,1.65,2.33,-2.17,-3.07,4.63,4.63,53
