trade_number,direction,entry_time_utc,exit_time_utc,entry_price_usdt,exit_price_usdt,size_qty,size_value_usdt,net_pnl_usdt,return_pct,favorable_excursion_usdt,favorable_excursion_pct,adverse_excursion_usdt,adverse_excursion_pct,cumulative_pnl_usdt,cumulative_pnl_pct,duration_bars,entry_signal,exit_signal
1,short,2025-08-01T08:00:00Z,2025-08-05T08:30:00Z,3.5248,3.4552,14.24,50.193152,0.94,1.87,3.68,7.33,-1.58,-3.14,0.94,0.94,193,Short,Close entry(s) order Short
2,short,2025-08-05T19:30:00Z,2025-08-06T18:00:00Z,3.3857,3.5152,15.58,52.749206,-2.07,-3.92,0.92,1.75,-2.04,-3.87,-1.13,-1.13,45,Short,Short Exit
3,long,2025-08-07T10:30:00Z,2025-08-11T11:00:00Z,3.586,3.8063,12.57,45.07602,2.72,6.04,5.26,11.66,-0.04,-0.08,1.59,1.59,193,Long,Close entry(s) order Long
4,long,2025-08-12T21:00:00Z,2025-08-14T12:30:00Z,3.9162,3.7558,12.67,49.618254,-2.08,-4.19,3.37,6.78,-2.06,-4.14,-0.49,-0.49,79,Long,Long Exit
5,short,2025-08-14T21:30:00Z,2025-08-18T22:00:00Z,3.6749,3.6392,8.88,32.633112,0.28,0.87,1.38,4.22,-1.95,-5.98,-0.2,-0.20,193,Short,Close entry(s) order Short
6,short,2025-08-19T04:30:00Z,2025-08-22T16:00:00Z,3.5004,3.6798,11.14,38.994456,-2.04,-5.23,2.19,5.62,-2.02,-5.17,-2.24,-2.24,167,Short,Short Exit
7,long,2025-08-22T17:30:00Z,2025-08-25T07:30:00Z,3.7362,3.489,7.91,29.553342,-1.98,-6.71,0.88,2.99,-1.97,-6.66,-4.23,-4.23,124,Long,Long Exit
8,short,2025-08-29T08:00:00Z,2025-09-02T08:30:00Z,3.3541,3.2724,12.11,40.618151,0.95,2.34,2.99,7.35,-0.6,-1.47,-3.28,-3.28,193,Short,Close entry(s) order Short
9,long,2025-09-02T22:30:00Z,2025-09-06T23:00:00Z,3.3075,3.329,20.24,66.9438,0.37,0.55,2.92,4.35,-1.58,-2.36,-2.91,-2.91,193,Long,Close entry(s) order Long
10,long,2025-09-08T10:30:00Z,2025-09-12T11:00:00Z,3.476,3.6303,19.17,66.63492,2.89,4.33,4.26,6.39,-1.06,-1.59,-0.02,-0.02,193,Long,Close entry(s) order Long
11,long,2025-09-12T19:30:00Z,2025-09-14T11:30:00Z,3.6916,3.7299,22.37,82.581092,0.77,0.94,4.21,5.09,-0.55,-0.66,0.75,0.75,80,Long,Long Exit
12,short,2025-09-15T10:30:00Z,2025-09-16T13:30:00Z,3.5288,3.6397,18.2,64.22416,-2.08,-3.24,1.28,1.99,-2.05,-3.19,-1.33,-1.33,54,Short,Short Exit
13,long,2025-09-17T22:30:00Z,2025-09-21T23:00:00Z,3.7548,3.6366,8.5,31.9158,-1.04,-3.24,1.85,5.78,-1.44,-4.52,-2.36,-2.36,193,Long,Close entry(s) order Long
14,short,2025-09-22T02:00:00Z,2025-09-26T02:30:00Z,3.5238,3.1547,11.1,39.11418,4.06,10.37,5.09,12.99,-0.18,-0.47,1.7,1.70,193,Short,Close entry(s) order Short
15,long,2025-09-28T20:30:00Z,2025-10-02T21:00:00Z,3.2346,3.5956,22.32,72.196272,7.98,11.05,9.09,12.58,-1.91,-2.64,9.68,9.68,193,Long,Close entry(s) order Long
16,short,2025-10-04T10:00:00Z,2025-10-04T22:00:00Z,3.5056,3.5968,24.02,84.204512,-2.28,-2.70,0.32,0.38,-2.23,-2.65,7.4,7.40,24,Short,Short Exit
17,long,2025-10-05T00:30:00Z,2025-10-05T19:30:00Z,3.6734,3.5317,15.15,55.65201,-2.2,-3.95,0.22,0.40,-2.17,-3.91,5.2,5.20,38,Long,Long Exit
18,long,2025-10-06T16:00:00Z,2025-10-07T13:30:00Z,3.6719,3.5508,17.38,63.817622,-2.17,-3.39,0.62,0.97,-2.14,-3.35,3.03,3.03,43,Long,Long Exit
19,short,2025-10-07T15:00:00Z,2025-10-11T15:30:00Z,3.5217,2.6754,12.28,43.246476,10.35,23.93,36.37,84.05,-0.55,-1.27,13.39,13.39,193,Short,Close entry(s) order Short
20,long,2025-10-13T19:30:00Z,2025-10-14T06:30:00Z,2.934,2.7248,10.84,31.80456,-2.3,-7.22,0.84,2.65,-2.28,-7.18,11.09,11.09,22,Long,Long Exit
21,short,2025-10-15T17:00:00Z,2025-10-19T10:00:00Z,2.7056,2.5368,15.23,41.206288,2.53,6.14,6.47,15.70,-0.55,-1.34,13.62,13.62,178,Short,Short Exit
22,long,2025-10-19T14:30:00Z,2025-10-21T04:00:00Z,2.641,2.4959,15.63,41.27883,-2.31,-5.59,0.56,1.35,-2.29,-5.54,11.31,11.31,75,Long,Long Exit
23,short,2025-10-21T06:00:00Z,2025-10-21T14:30:00Z,2.479,2.5815,21.73,53.86867,-2.28,-4.23,0.21,0.38,-2.25,-4.18,9.03,9.03,17,Short,Short Exit
24,short,2025-10-22T00:30:00Z,2025-10-26T01:00:00Z,2.4818,2.5254,15.51,38.492718,-0.72,-1.86,2.21,5.75,-1.28,-3.34,8.31,8.31,193,Short,Close entry(s) order Short
25,long,2025-10-26T10:00:00Z,2025-10-27T13:30:00Z,2.5717,2.5829,30,77.151,0.26,0.34,4.33,5.61,-0.71,-0.92,8.57,8.57,55,Long,Long Exit
26,short,2025-10-28T21:00:00Z,2025-11-01T21:30:00Z,2.4953,2.3812,12.64,31.540592,1.41,4.47,3.64,11.54,-1.22,-3.88,9.98,9.98,193,Short,Close entry(s) order Short
27,short,2025-11-03T04:00:00Z,2025-11-07T04:30:00Z,2.2071,1.9983,14.33,31.627743,2.96,9.36,5.53,17.46,-0.32,-1.01,12.95,12.95,193,Short,Close entry(s) order Short
28,long,2025-11-09T20:00:00Z,2025-11-11T19:00:00Z,2.1637,2.0509,20.04,43.360548,-2.3,-5.31,1.3,3.00,-2.28,-5.26,10.64,10.64,94,Long,Long Exit
29,short,2025-11-11T20:00:00Z,2025-11-15T20:30:00Z,2.0402,1.7771,23.31,47.557062,6.09,12.80,7.77,16.33,-1.37,-2.88,16.73,16.73,193,Short,Close entry(s) order Short
30,short,2025-11-16T16:00:00Z,2025-11-20T16:30:00Z,1.6695,1.5398,28.44,47.48058,3.64,7.67,4.56,9.61,-1.87,-3.94,20.37,20.37,193,Short,Close entry(s) order Short
31,short,2025-11-21T00:00:00Z,2025-11-25T00:30:00Z,1.496,1.5276,21.94,32.82224,-0.73,-2.21,4.05,12.34,-1.55,-4.73,19.65,19.65,193,Short,Close entry(s) order Short
32,long,2025-11-25T05:00:00Z,2025-11-25T14:30:00Z,1.5605,1.4758,28.24,44.06852,-2.43,-5.52,0.3,0.68,-2.41,-5.48,17.21,17.21,19,Long,Long Exit
33,long,2025-11-28T15:30:00Z,2025-11-28T18:00:00Z,1.5938,1.5085,27.51,43.845438,-2.39,-5.45,0.14,0.33,-2.37,-5.40,14.82,14.82,5,Long,Long Exit
34,short,2025-11-29T02:30:00Z,2025-11-30T13:00:00Z,1.5176,1.5631,50.69,76.927144,-2.38,-3.10,1.65,2.15,-2.34,-3.05,12.44,12.44,69,Short,Short Exit
