Trade number,Type,Date and time,Signal,Price USDT,Size (qty),Size (value),Net PnL USDT,Return %,Commission USDT,Favorable excursion USDT,Favorable excursion %,Adverse excursion USDT,Adverse excursion %,Cumulative PnL USDT,Cumulative PnL %,Duration (bars)
1,Exit short,2025-08-05 16:30,Close entry(s) order Short,3.4552,14.24,50.193152,0.94,1.87,0.05,3.68,7.33,-1.58,-3.14,0.94,0.94,193
1,Entry short,2025-08-01 16:00,Short,3.5248,14.24,50.193152,0.94,1.87,0.05,3.68,7.33,-1.58,-3.14,0.94,0.94,193
2,Exit short,2025-08-07 02:00,Short Exit,3.5152,15.58,52.749206,-2.07,-3.92,0.05,0.92,1.75,-2.04,-3.87,-1.13,-1.13,45
2,Entry short,2025-08-06 03:30,Short,3.3857,15.58,52.749206,-2.07,-3.92,0.05,0.92,1.75,-2.04,-3.87,-1.13,-1.13,45
3,Exit long,2025-08-11 19:00,Close entry(s) order Long,3.8063,12.57,45.07602,2.72,6.04,0.05,5.26,11.66,-0.04,-0.08,1.59,1.59,193
3,Entry long,2025-08-07 18:30,Long,3.586,12.57,45.07602,2.72,6.04,0.05,5.26,11.66,-0.04,-0.08,1.59,1.59,193
4,Exit long,2025-08-14 20:30,Long Exit,3.7558,12.67,49.618254,-2.08,-4.19,0.05,3.37,6.78,-2.06,-4.14,-0.49,-0.49,79
4,Entry long,2025-08-13 05:00,Long,3.9162,12.67,49.618254,-2.08,-4.19,0.05,3.37,6.78,-2.06,-4.14,-0.49,-0.49,79
5,Exit short,2025-08-19 06:00,Close entry(s) order Short,3.6392,8.88,32.633112,0.28,0.87,0.03,1.38,4.22,-1.95,-5.98,-0.2,-0.20,193
5,Entry short,2025-08-15 05:30,Short,3.6749,8.88,32.633112,0.28,0.87,0.03,1.38,4.22,-1.95,-5.98,-0.2,-0.20,193
6,Exit short,2025-08-23 00:00,Short Exit,3.6798,11.14,38.994456,-2.04,-5.23,0.04,2.19,5.62,-2.02,-5.17,-2.24,-2.24,167
6,Entry short,2025-08-19 12:30,Short,3.5004,11.14,38.994456,-2.04,-5.23,0.04,2.19,5.62,-2.02,-5.17,-2.24,-2.24,167
7,Exit long,2025-08-25 15:30,Long Exit,3.489,7.91,29.553342,-1.98,-6.71,0.03,0.88,2.99,-1.97,-6.66,-4.23,-4.23,124
7,Entry long,2025-08-23 01:30,Long,3.7362,7.91,29.553342,-1.98,-6.71,0.03,0.88,2.99,-1.97,-6.66,-4.23,-4.23,124
8,Exit short,2025-09-02 16:30,Close entry(s) order Short,3.2724,12.11,40.618151,0.95,2.34,0.04,2.99,7.35,-0.6,-1.47,-3.28,-3.28,193
8,Entry short,2025-08-29 16:00,Short,3.3541,12.11,40.618151,0.95,2.34,0.04,2.99,7.35,-0.6,-1.47,-3.28,-3.28,193
9,Exit long,2025-09-07 07:00,Close entry(s) order Long,3.329,20.24,66.9438,0.37,0.55,0.07,2.92,4.35,-1.58,-2.36,-2.91,-2.91,193
9,Entry long,2025-09-03 06:30,Long,3.3075,20.24,66.9438,0.37,0.55,0.07,2.92,4.35,-1.58,-2.36,-2.91,-2.91,193
10,Exit long,2025-09-12 19:00,Close entry(s) order Long,3.6303,19.17,66.63492,2.89,4.33,0.07,4.26,6.39,-1.06,-1.59,-0.02,-0.02,193
10,Entry long,2025-09-08 18:30,Long,3.476,19.17,66.63492,2.89,4.33,0.07,4.26,6.39,-1.06,-1.59,-0.02,-0.02,193
11,Exit long,2025-09-14 19:30,Long Exit,3.7299,22.37,82.581092,0.77,0.94,0.08,4.21,5.09,-0.55,-0.66,0.75,0.75,80
11,Entry long,2025-09-13 03:30,Long,3.6916,22.37,82.581092,0.77,0.94,0.08,4.21,5.09,-0.55,-0.66,0.75,0.75,80
12,Exit short,2025-09-16 21:30,Short Exit,3.6397,18.2,64.22416,-2.08,-3.24,0.07,1.28,1.99,-2.05,-3.19,-1.33,-1.33,54
12,Entry short,2025-09-15 18:30,Short,3.5288,18.2,64.22416,-2.08,-3.24,0.07,1.28,1.99,-2.05,-3.19,-1.33,-1.33,54
13,Exit long,2025-09-22 07:00,Close entry(s) order Long,3.6366,8.5,31.9158,-1.04,-3.24,0.03,1.85,5.78,-1.44,-4.52,-2.36,-2.36,193
13,Entry long,2025-09-18 06:30,Long,3.7548,8.5,31.9158,-1.04,-3.24,0.03,1.85,5.78,-1.44,-4.52,-2.36,-2.36,193
14,Exit short,2025-09-26 10:30,Close entry(s) order Short,3.1547,11.1,39.11418,4.06,10.37,0.04,5.09,12.99,-0.18,-0.47,1.7,1.70,193
14,Entry short,2025-09-22 10:00,Short,3.5238,11.1,39.11418,4.06,10.37,0.04,5.09,12.99,-0.18,-0.47,1.7,1.70,193
15,Exit long,2025-10-03 05:00,Close entry(s) order Long,3.5956,22.32,72.196272,7.98,11.05,0.08,9.09,12.58,-1.91,-2.64,9.68,9.68,193
15,Entry long,2025-09-29 04:30,Long,3.2346,22.32,72.196272,7.98,11.05,0.08,9.09,12.58,-1.91,-2.64,9.68,9.68,193
16,Exit short,2025-10-05 06:00,Short Exit,3.5968,24.02,84.204512,-2.28,-2.70,0.09,0.32,0.38,-2.23,-2.65,7.4,7.40,24
16,Entry short,2025-10-04 18:00,Short,3.5056,24.02,84.204512,-2.28,-2.70,0.09,0.32,0.38,-2.23,-2.65,7.4,7.40,24
17,Exit long,2025-10-06 03:30,Long Exit,3.5317,15.15,55.65201,-2.2,-3.95,0.05,0.22,0.40,-2.17,-3.91,5.2,5.20,38
17,Entry long,2025-10-05 08:30,Long,3.6734,15.15,55.65201,-2.2,-3.95,0.05,0.22,0.40,-2.17,-3.91,5.2,5.20,38
18,Exit long,2025-10-07 21:30,Long Exit,3.5508,17.38,63.817622,-2.17,-3.39,0.06,0.62,0.97,-2.14,-3.35,3.03,3.03,43
18,Entry long,2025-10-07 00:00,Long,3.6719,17.38,63.817622,-2.17,-3.39,0.06,0.62,0.97,-2.14,-3.35,3.03,3.03,43
19,Exit short,2025-10-11 23:30,Close entry(s) order Short,2.6754,12.28,43.246476,10.35,23.93,0.04,36.37,84.05,-0.55,-1.27,13.39,13.39,193
19,Entry short,2025-10-07 23:00,Short,3.5217,12.28,43.246476,10.35,23.93,0.04,36.37,84.05,-0.55,-1.27,13.39,13.39,193
20,Exit long,2025-10-14 14:30,Long Exit,2.7248,10.84,31.80456,-2.3,-7.22,0.03,0.84,2.65,-2.28,-7.18,11.09,11.09,22
20,Entry long,2025-10-14 03:30,Long,2.934,10.84,31.80456,-2.3,-7.22,0.03,0.84,2.65,-2.28,-7.18,11.09,11.09,22
21,Exit short,2025-10-19 18:00,Short Exit,2.5368,15.23,41.206288,2.53,6.14,0.04,6.47,15.70,-0.55,-1.34,13.62,13.62,178
21,Entry short,2025-10-16 01:00,Short,2.7056,15.23,41.206288,2.53,6.14,0.04,6.47,15.70,-0.55,-1.34,13.62,13.62,178
22,Exit long,2025-10-21 12:00,Long Exit,2.4959,15.63,41.27883,-2.31,-5.59,0.04,0.56,1.35,-2.29,-5.54,11.31,11.31,75
22,Entry long,2025-10-19 22:30,Long,2.641,15.63,41.27883,-2.31,-5.59,0.04,0.56,1.35,-2.29,-5.54,11.31,11.31,75
23,Exit short,2025-10-21 22:30,Short Exit,2.5815,21.73,53.86867,-2.28,-4.23,0.05,0.21,0.38,-2.25,-4.18,9.03,9.03,17
23,Entry short,2025-10-21 14:00,Short,2.479,21.73,53.86867,-2.28,-4.23,0.05,0.21,0.38,-2.25,-4.18,9.03,9.03,17
